case_id,model_variant,include_chi_prime,n_active,chi_t_over_2pi,target_family,random_seed,waveform_family,pulse_duration_ns,average_gate_fidelity,restricted_process_fidelity,restricted_fro_error,restricted_unitarity_error,state_transfer_fidelity_mean,state_transfer_fidelity_min,same_block_population_mean,same_block_population_min,other_target_population_mean,other_target_population_max,leakage_outside_target_mean,leakage_outside_target_max,weighted_loss,mean_residual_z_error_rad,max_residual_z_error_rad,mean_transverse_error_rad,max_transverse_error_rad,state_validation_ground_fidelity,state_validation_plus_fidelity,optimizer_success,optimizer_nfev,optimizer_runtime_s
chi_plus_chiprime_na2_chiT3p0_targetC,chi_plus_chiprime,True,2,3.0,C,,baseline_multitone,1056.3380281690138,0.8733592181606131,0.8416990227007662,0.4066202120618794,3.344121800877082e-06,0.8627389421609672,0.767923470490781,0.9999999999999998,0.9999999999999998,0.0,0.0,1.6653345369377348e-16,2.220446049250313e-16,0.18154528147047327,0.07348514829353199,0.0924619164789773,0.7855811815867333,1.0054240944772856,0.8407321303403048,0.894730179907456,,,
chi_plus_chiprime_na2_chiT3p0_targetC,chi_plus_chiprime,True,2,3.0,C,,symmetric_two_segment,1056.3380281690138,0.8716956150279467,0.8396195187849333,0.40939914463284255,4.7622466178677596e-07,0.860902676280789,0.7656593117360093,0.9999999999999999,0.9999999999999998,0.0,0.0,1.3877787807814457e-16,2.220446049250313e-16,0.18394331715828263,0.07175577568504742,0.09141200145815855,0.7919309979048217,1.0107671246619188,0.8386861667617891,0.8931985476085811,True,62.0,2.754396300002554
chi_plus_chiprime_na2_chiT3p0_targetC,chi_plus_chiprime,True,2,3.0,C,,echoed_multitone,1056.3380281690138,0.20946561458050642,0.011832018225633007,1.4889648341799853,2.704199989061577e-06,0.18337460226431443,0.011785454727633838,1.0000000000000002,1.0,0.0,0.0,0.0,0.0,1.1171845050752838,0.0361419428401631,0.03738881128924145,2.404630365236687,2.638053679796693,0.0118645459720826,0.014513383604736214,False,120.0,5.369050799999968
chi_plus_chiprime_na2_chiT3p0_targetC,chi_plus_chiprime,True,2,3.0,C,,complex_envelope,1056.3380281690138,0.8722273528214316,0.8402841910267896,0.40851251697927426,4.3557444657372195e-07,0.8615138358425611,0.7662289117434666,1.0,0.9999999999999996,0.0,0.0,1.1102230246251565e-16,4.440892098500626e-16,0.18316710747951498,0.07402460590469857,0.09300235176847585,0.789571071820683,1.009436509073706,0.8393108562321853,0.8935633444181958,True,62.0,2.802841199998511
chi_plus_chiprime_na2_chiT3p0_targetC,chi_plus_chiprime,True,2,3.0,C,,basis_expanded,1056.3380281690138,0.8722233024082857,0.8402791280103572,0.4085192828934787,2.5140059137290675e-07,0.8615094134556804,0.7662259717433395,0.9999999999999999,0.9999999999999998,0.0,0.0,1.3877787807814457e-16,2.220446049250313e-16,0.183172930716671,0.07402633829872675,0.09300569404843351,0.7895879210257699,1.009443490025969,0.8393060009659778,0.8935605482284944,True,75.0,3.379031500000565
chi_plus_chiprime_na2_chiT3p0_targetD_seed92340,chi_plus_chiprime,True,2,3.0,D,92340.0,baseline_multitone,1056.3380281690138,0.28375119153558914,0.10468898941948648,1.1631964220818862,5.838035625955908e-07,0.2592081975597553,0.10483785985319624,1.0,0.9999999999999998,0.0,0.0,8.326672684688674e-17,2.220446049250313e-16,1.012565542663336,0.8476233913528481,1.0431993855025583,2.325944529360302,2.452598036686596,0.20533341446848957,0.3983526191143196,,,
chi_plus_chiprime_na2_chiT3p0_targetD_seed92340,chi_plus_chiprime,True,2,3.0,D,92340.0,symmetric_two_segment,1056.3380281690138,0.28258346078252455,0.1032293259781557,1.165140668782027,1.829471091982337e-06,0.25743451251438254,0.10332778034994607,1.0000000000000002,0.9999999999999998,0.0,0.0,5.551115123125783e-17,2.220446049250313e-16,1.0144427060196848,0.8431707486611524,1.0368603457588415,2.3327721223346387,2.461272959919226,0.20258738316268565,0.3985952843086719,True,61.0,2.806932200001029
chi_plus_chiprime_na2_chiT3p0_targetD_seed92340,chi_plus_chiprime,True,2,3.0,D,92340.0,echoed_multitone,1056.3380281690138,0.2262031774523842,0.03275397181548022,1.5367316580698493,1.7407696254178286e-06,0.3971696818002558,0.09601879635916023,1.0,0.9999999999999999,0.0,0.0,8.326672684688674e-17,1.1102230246251565e-16,1.014928900011489,0.6358237567662242,1.2716456906704479,1.2519284985086636,1.5700002405325553,0.11156882048790309,0.0565584414906023,False,120.0,5.529679700000997
chi_plus_chiprime_na2_chiT3p0_targetD_seed92340,chi_plus_chiprime,True,2,3.0,D,92340.0,complex_envelope,1056.3380281690138,0.28162311116089933,0.10202888895112416,1.1667471317644869,1.3437539476884015e-06,0.2564940244382889,0.10244463456194028,1.0,0.9999999999999998,0.0,0.0,5.551115123125783e-17,2.220446049250313e-16,1.0157793081417856,0.8447699456954347,1.0449019784224116,2.336035301276087,2.459925846262035,0.20152866978945252,0.3973795223743712,True,61.0,2.801301200001035
chi_plus_chiprime_na2_chiT3p0_targetD_seed92340,chi_plus_chiprime,True,2,3.0,D,92340.0,basis_expanded,1056.3380281690138,0.2816298418117428,0.10203730226467841,1.166735854627234,1.4701724617349236e-06,0.25649999826229525,0.1024501311548907,0.9999999999999999,0.9999999999999996,0.0,0.0,1.6653345369377348e-16,4.440892098500626e-16,1.0157701245489386,0.844726848434332,1.044818118525951,2.336022517046265,2.4600504401667513,0.2015269343926891,0.3973877454395517,True,72.0,3.327962399998796
