case_id,model_variant,include_chi_prime,n_active,chi_t_over_2pi,target_family,random_seed,waveform_family,pulse_duration_ns,average_gate_fidelity,restricted_process_fidelity,restricted_fro_error,restricted_unitarity_error,state_transfer_fidelity_mean,state_transfer_fidelity_min,same_block_population_mean,same_block_population_min,other_target_population_mean,other_target_population_max,leakage_outside_target_mean,leakage_outside_target_max,weighted_loss,mean_residual_z_error_rad,max_residual_z_error_rad,mean_transverse_error_rad,state_validation_ground_fidelity,state_validation_plus_fidelity,optimizer_success,optimizer_nfev,optimizer_runtime_s
chi_only_na2_chiT5p0_targetC,chi_only,False,2,5.0,C,,complex_envelope,1760.5633802816897,0.8740440876360024,0.842555109545003,0.4054392892380367,1.8153583546994323e-06,0.8634762473125126,0.7703103739642447,0.9999999999999999,0.9999999999999997,0.0,0.0,1.6653345369377348e-16,3.3306690738754696e-16,0.1805654653802843,0.07470226978100514,0.09643379177272186,0.7841265092010781,0.8416656615595282,0.893124082890201,True,57.0,4.212829700001748
chi_only_na2_chiT5p0_targetC,chi_only,False,2,5.0,C,,basis_expanded,1760.5633802816897,0.8741077859122214,0.8426347323902768,0.40533232610333336,1.0679130600621956e-06,0.8635458577887682,0.7704372047900283,0.9999999999999997,0.9999999999999996,0.0,0.0,2.7755575615628914e-16,4.440892098500626e-16,0.1804738437959843,0.0747682810249934,0.09648902253914765,0.7839156219605916,0.8417442575983908,0.8931783353697939,True,74.0,4.972260200000164
chi_only_na2_chiT5p0_targetD_seed90210,chi_only,False,2,5.0,D,90210.0,baseline_multitone,1760.5633802816897,0.4521393537290782,0.31517419216134773,0.9366525575969802,1.7520590409410278e-06,0.44439997949858906,0.3176640298780413,1.0,0.9999999999999997,0.0,0.0,8.326672684688674e-17,3.3306690738754696e-16,0.7701006600557776,0.7750555976645782,0.99231220101211,1.7744628429601792,0.4213620762152268,0.4150111681557449,,,
chi_only_na2_chiT5p0_targetD_seed90210,chi_only,False,2,5.0,D,90210.0,symmetric_two_segment,1760.5633802816897,0.4482878151499275,0.31035976893740935,0.9412362064407442,1.5043433169401388e-06,0.43618690483029543,0.31217004974848783,0.9999999999999999,0.9999999999999993,0.0,0.0,1.6653345369377348e-16,6.661338147750939e-16,0.7772374455387964,0.7407705981493861,0.945070605400862,1.8021987608469963,0.4069681492927232,0.41357206563681936,True,62.0,4.891846400001668
chi_only_na2_chiT5p0_targetD_seed90210,chi_only,False,2,5.0,D,90210.0,complex_envelope,1760.5633802816897,0.46486288138798776,0.33107860173498466,0.9215983033737485,3.175917352699996e-06,0.45451864775822526,0.3318568936524012,1.0000000000000002,0.9999999999999999,0.0,0.0,2.7755575615628914e-17,1.1102230246251565e-16,0.7533296389336752,0.7401079919281279,0.9287653319445369,1.755333612954042,0.4293144181385193,0.4328696109945815,True,61.0,4.688904200000252
chi_only_na2_chiT5p0_targetD_seed90210,chi_only,False,2,5.0,D,90210.0,basis_expanded,1760.5633802816897,0.4656973183874265,0.3321216479842831,0.9206155179703852,1.391912661007007e-06,0.45549568321463785,0.33286788571838355,1.0,0.9999999999999999,0.0,0.0,5.551115123125783e-17,1.1102230246251565e-16,0.7521044058665687,0.7404954070577503,0.9283586991710785,1.7527065370305097,0.4305802026429862,0.4337298126780698,True,87.0,6.728594199998042
chi_plus_chiprime_na2_chiT3p0_targetC,chi_plus_chiprime,True,2,3.0,C,,baseline_multitone,1056.3380281690138,0.8733592181606131,0.8416990227007662,0.4066202120618794,3.344121800877082e-06,0.8627389421609672,0.767923470490781,0.9999999999999998,0.9999999999999998,0.0,0.0,1.6653345369377348e-16,2.220446049250313e-16,0.18154528147047327,0.07348514829353199,0.0924619164789773,0.7855811815867333,0.8407321303403048,0.894730179907456,,,
chi_plus_chiprime_na2_chiT3p0_targetC,chi_plus_chiprime,True,2,3.0,C,,symmetric_two_segment,1056.3380281690138,0.8716956150279467,0.8396195187849333,0.40939914463284255,4.7622466178677596e-07,0.860902676280789,0.7656593117360093,0.9999999999999999,0.9999999999999998,0.0,0.0,1.3877787807814457e-16,2.220446049250313e-16,0.18394331715828263,0.07175577568504742,0.09141200145815855,0.7919309979048217,0.8386861667617891,0.8931985476085811,True,62.0,2.732392500001879
chi_plus_chiprime_na2_chiT3p0_targetC,chi_plus_chiprime,True,2,3.0,C,,complex_envelope,1056.3380281690138,0.8722273528214316,0.8402841910267896,0.40851251697927426,4.3557444657372195e-07,0.8615138358425611,0.7662289117434666,1.0,0.9999999999999996,0.0,0.0,1.1102230246251565e-16,4.440892098500626e-16,0.18316710747951498,0.07402460590469857,0.09300235176847585,0.789571071820683,0.8393108562321853,0.8935633444181958,True,62.0,2.768838500000129
chi_plus_chiprime_na2_chiT3p0_targetC,chi_plus_chiprime,True,2,3.0,C,,basis_expanded,1056.3380281690138,0.8722233024082857,0.8402791280103572,0.4085192828934787,2.5140059137290675e-07,0.8615094134556804,0.7662259717433395,0.9999999999999999,0.9999999999999998,0.0,0.0,1.3877787807814457e-16,2.220446049250313e-16,0.183172930716671,0.07402633829872675,0.09300569404843351,0.7895879210257699,0.8393060009659778,0.8935605482284944,True,75.0,3.3444511000016064
