family_key,family_label,blocks,n_active,order_label,order_pretty,levels,screen_fidelity,screen_duration_ns,screen_gate_depth,replay_n12_fidelity,replay_n12_leakage,replay_n12_unitarity_error
drcpsqr,D + R + CPSQR,3,3,CPRD,CPSQR > R > D,0-1-2,0.6959595520351963,924.0,10,0.6949967790890574,0.0222094617644909,5.338662761020333e-15
drcpsqr,D + R + CPSQR,3,4,CPDR,CPSQR > D > R,0-1-2-3,0.6975472985716167,894.0,10,0.6947998974828685,0.21582519364935138,4.124534242812943e-15
drcpsqr,D + R + CPSQR,3,3,CPDR,CPSQR > D > R,0-1-2,0.694229183324501,903.0,10,0.694460753579288,0.3501933273307192,3.954159498036613e-15
drsqr,D + R + SQR,4,4,DRS,D > R > SQR,0-1-2-3,0.6940278382016097,4960.0,13,0.6938732997735931,0.0581656330156779,1.3657569298726636e-14
drsqr,D + R + SQR,4,3,RDS,R > D > SQR,0-1-2,0.6927675968622862,4960.0,13,0.6924819913302646,0.044808029678917394,4.045191507362449e-15
drsqr,D + R + SQR,4,3,DSR,D > SQR > R,0-1-2,0.6903387530375146,4960.0,13,0.6898813250298256,0.031818822707225025,4.516157383524299e-15
drsqr,D + R + SQR,4,3,DRS,D > R > SQR,0-1-2,0.6886811742292142,4960.0,13,0.6883835876435362,0.05806317395417149,3.5397597254289137e-15
drcpsqr,D + R + CPSQR,5,2,RCPD,R > CPSQR > D,0-1,0.6864609548538327,1459.0,16,0.6864245800706706,0.2274862084986531,2.529962302220336e-14
drsqr,D + R + SQR,5,4,RDS,R > D > SQR,0-1-2-3,0.6818004721670265,6180.0,16,0.6816283697076884,0.011868592754910146,3.3316351663319837e-14
drsqr,D + R + SQR,5,4,DRS,D > R > SQR,0-1-2-3,0.6817587707682421,6180.0,16,0.6815873698702093,0.011892350702800147,4.4290966617009447e-14
drcpsqr,D + R + CPSQR,3,1,CPDR,CPSQR > D > R,0,0.6814070891185094,880.0,10,0.6813689415752405,0.47287267030005165,3.4692408933274406e-14
drcpsqr,D + R + CPSQR,3,2,CPDR,CPSQR > D > R,0-1,0.6806001387038284,923.0,10,0.6806036480245323,0.23767748573264713,1.2958148680999152e-14
drcpsqr,D + R + CPSQR,4,3,DRCP,D > R > CPSQR,0-1-2,0.6962085693339831,1193.0,13,0.680448564915905,0.25868153831982366,5.386578743109312e-15
drsqr,D + R + SQR,5,3,RDS,R > D > SQR,0-1-2,0.6794935293176632,6180.0,16,0.6794299352234894,0.01999640359832333,2.359435402636664e-14
