n,detuning_MHz,amplitude_scale,target_probability
1,-0.5,0.9400000000000001,0.9765797535562059
1,-0.5,0.9600000000000001,0.9848166818659033
1,-0.5,0.9800000000000001,0.9912850700639776
1,-0.5,1.0,0.9959665546994226
1,-0.5,1.02,0.9988440717644657
1,-0.5,1.04,0.999906998661186
1,-0.5,1.06,0.9991525057221332
1,-0.5,1.08,0.9965823863705576
1,-0.5,1.1,0.9922059737797734
1,0.0,0.9,0.9550363499480353
1,0.0,0.92,0.9666938059768161
1,0.0,0.9400000000000001,0.9766636590236788
1,0.0,0.9600000000000001,0.9848997001489698
1,0.0,0.9800000000000001,0.9913691043276301
1,0.0,1.0,0.9960514784700454
1,0.0,1.02,0.9989297555842996
1,0.0,1.04,0.9999933647348782
1,0.0,1.06,0.9992393732839961
1,0.0,1.08,0.9966696307744359
1,0.0,1.1,0.9922916784475596
1,0.5,0.9,0.9549559116365783
1,0.5,0.92,0.9666121212668115
1,0.5,0.9400000000000001,0.9765806402847532
1,0.5,0.9600000000000001,0.9848153213247189
1,0.5,0.9800000000000001,0.9912836427668452
1,0.5,1.0,0.9959650584731925
1,0.5,1.02,0.9988425044269127
1,0.5,1.04,0.9999054570576472
1,0.5,1.06,0.9991509075861768
1,0.5,1.08,0.9965807439148646
1,0.5,1.1,0.9922024698469295
1,1.0,0.9,0.9547158488539622
1,1.0,0.92,0.9663680379049414
1,1.0,0.9400000000000001,0.97633036015525
1,1.0,0.9600000000000001,0.9845635835103639
1,1.0,0.9800000000000001,0.9910287239343529
1,1.0,1.0,0.9957073338153949
1,1.0,1.02,0.9985823580277766
1,1.0,1.04,0.9996433171981537
1,1.0,1.06,0.9988871456057798
1,1.0,1.08,0.9963157554014321
1,1.0,1.1,0.9919366549731274
1,1.5,0.9,0.9543162681026481
1,1.5,0.92,0.9659613144917709
1,1.5,0.9400000000000001,0.9759172646591207
1,1.5,0.9600000000000001,0.9841445999644206
1,1.5,0.9800000000000001,0.9906044629024119
1,1.5,1.0,0.9952784214117145
1,1.5,1.02,0.9981494349854342
1,1.5,1.04,0.9992070672229689
1,1.5,1.06,0.9984483456853906
1,1.5,1.08,0.995874797176723
1,1.5,1.1,0.9914943575938995
1,2.0,0.9,0.9537573466666741
1,2.0,0.92,0.9653924159921051
1,2.0,0.9400000000000001,0.9753442916321818
1,2.0,0.9600000000000001,0.9835585587252187
1,2.0,0.9800000000000001,0.990011051110238
1,2.0,1.0,0.9946785158626127
1,2.0,1.02,0.9975439326644098
1,2.0,1.04,0.9985969096464545
1,2.0,1.06,0.9978345023254956
1,2.0,1.08,0.9952580481555913
1,2.0,1.1,0.9908777114371425
1,2.5,0.9,0.953039326999841
1,2.5,0.92,0.9646616666879766
1,2.5,0.9400000000000001,0.9745970981732484
1,2.5,0.9600000000000001,0.9828057232548093
1,2.5,0.9800000000000001,0.9892487565893657
1,2.5,1.0,0.9939078893144377
1,2.5,1.02,0.9967661270792929
1,2.5,1.04,0.9978131273824415
1,2.5,1.06,0.9970459994485351
1,2.5,1.08,0.994465989892341
1,2.5,1.1,0.9900830749027658
1,3.0,0.9,0.9521625387135594
1,3.0,0.92,0.9637729654592968
1,3.0,0.9400000000000001,0.9736905479457327
1,3.0,0.9600000000000001,0.981886432014057
1,3.0,0.9800000000000001,0.988317923467159
1,3.0,1.0,0.9929668912300009
1,3.0,1.02,0.9958163727095419
1,3.0,1.04,0.9968560828058178
1,3.0,1.06,0.9960830822481987
1,3.0,1.08,0.9934988593033423
1,3.0,1.1,0.9891129569369567
1,3.5,0.9,0.9511273648865401
1,3.5,0.92,0.9627161795015822
1,3.5,0.9400000000000001,0.9726202558998507
1,3.5,0.9600000000000001,0.9808010974855025
1,3.5,0.9800000000000001,0.9872189715845894
1,3.5,1.0,0.9918559481398765
1,3.5,1.02,0.9946951022355028
1,3.5,1.04,0.9957262181445635
1,3.5,1.06,0.9949463164869067
1,3.5,1.08,0.9923570994965947
1,3.5,1.1,0.987965694207168
1,4.0,0.9,0.9499342642930384
1,4.0,0.92,0.9615083587449378
1,4.0,0.9400000000000001,0.9713903655010627
1,4.0,0.9600000000000001,0.9795502073905589
1,4.0,0.9800000000000001,0.9859523965574397
1,4.0,1.0,0.990575563521414
1,4.0,1.02,0.9934028262971699
1,4.0,1.04,0.9944240531436559
1,4.0,1.06,0.9936357959510075
1,4.0,1.08,0.9910390846790054
1,4.0,1.1,0.9866457133860703
2,-4.0,0.9,0.928914190836452
2,-4.0,0.92,0.9356215971045989
2,-4.0,0.9400000000000001,0.940419062175491
2,-4.0,0.9600000000000001,0.943285072488631
2,-4.0,0.9800000000000001,0.9442160322820433
2,-4.0,1.0,0.9431991960989647
2,-4.0,1.02,0.9402413316531751
2,-4.0,1.04,0.935353401676952
2,-4.0,1.06,0.9285581493239208
2,-4.0,1.08,0.9198795787145967
2,-4.0,1.1,0.9093533429477453
2,-3.5,0.9,0.9411213874006225
2,-3.5,0.92,0.9480201867118515
2,-3.5,0.9400000000000001,0.9529923007408095
2,-3.5,0.9600000000000001,0.9560150480817015
2,-3.5,0.9800000000000001,0.9570774494059996
2,-3.5,1.0,0.9561740423799433
2,-3.5,1.02,0.9533087298104188
2,-3.5,1.04,0.948492829006391
2,-3.5,1.06,0.9417456083974156
2,-3.5,1.08,0.9330940063525647
2,-3.5,1.1,0.922575833369931
2,-3.0,0.9,0.9517955988600424
2,-3.0,0.92,0.9588645271918301
2,-3.0,0.9400000000000001,0.963987287012139
2,-3.0,0.9600000000000001,0.9671481184651092
2,-3.0,0.9800000000000001,0.9683288454952653
2,-3.0,1.0,0.9675256974629397
2,-3.0,1.02,0.9647421446716536
2,-3.0,1.04,0.9599892900090929
2,-3.0,1.06,0.9532862365416869
2,-3.0,1.08,0.9446606532249215
2,-3.0,1.1,0.9341464781628066
2,-2.5,0.9,0.9608972304595675
2,-2.5,0.92,0.9681113871159788
2,-2.5,0.9400000000000001,0.9733669702299133
2,-2.5,0.9600000000000001,0.9766423844371628
2,-2.5,0.9800000000000001,0.9779243046720166
2,-2.5,1.0,0.977207356016527
2,-2.5,1.02,0.9744941814795294
2,-2.5,1.04,0.9697958176971745
2,-2.5,1.06,0.9631308025571627
2,-2.5,1.08,0.9545267254152726
2,-2.5,1.1,0.9440189287637227
2,-2.0,0.9,0.9683913628744591
2,-2.0,0.92,0.9757250747602981
2,-2.0,0.9400000000000001,0.9810873881969846
2,-2.0,0.9600000000000001,0.9844592719017378
2,-2.0,0.9800000000000001,0.9858250215181465
2,-2.0,1.0,0.9851790603773188
2,-2.0,1.02,0.9825241536784163
2,-2.0,1.04,0.9778710982174924
2,-2.0,1.06,0.9712387557121016
2,-2.0,1.08,0.962653966645575
2,-2.0,1.1,0.9521515061923257
2,-1.5,0.9,0.9742429273793255
2,-1.5,0.92,0.9816707794412292
2,-1.5,0.9400000000000001,0.9871197515507582
2,-1.5,0.9600000000000001,0.9905668940390322
2,-1.5,0.9800000000000001,0.9919982987003338
2,-1.5,1.0,0.9914084333761615
2,-1.5,1.02,0.9887996457995055
2,-1.5,1.04,0.9841823456651067
2,-1.5,1.06,0.9775753179967077
2,-1.5,1.08,0.9690056774208611
2,-1.5,1.1,0.9585079649506415
2,-1.0,0.9,0.978434054203647
2,-1.0,0.92,0.9859291987419652
2,-1.0,0.9400000000000001,0.9914390994979752
2,-1.0,0.9600000000000001,0.9949402420677604
2,-1.0,0.9800000000000001,0.9964192044131314
2,-1.0,1.0,0.9958696969566816
2,-1.0,1.02,0.9932934440384394
2,-1.0,1.04,0.9887025487409409
2,-1.0,1.06,0.9821140677048008
2,-1.0,1.08,0.9735552159466129
2,-1.0,1.1,0.9630605712711982
2,-0.5,0.9,0.9809468352479406
2,-0.5,0.92,0.9884835765597191
2,-0.5,0.9400000000000001,0.9940279766047054
2,-0.5,0.9600000000000001,0.9975623039362647
2,-0.5,0.9800000000000001,0.9990695003726004
2,-0.5,1.0,0.9985443044724254
2,-0.5,1.02,0.9959885187379878
2,-0.5,1.04,0.9914128662571046
2,-0.5,1.06,0.984835526868979
2,-0.5,1.08,0.9762828504509675
2,-0.5,1.1,0.9657912562818044
2,0.0,0.9,0.9817690782109786
2,0.0,0.92,0.989318633382476
2,0.0,0.9400000000000001,0.994877026973733
2,0.0,0.9600000000000001,0.9984217069410269
2,0.0,0.9800000000000001,0.9999383380682031
2,0.0,1.0,0.9994212108988312
2,0.0,1.02,0.996872326352794
2,0.0,1.04,0.9923018441280714
2,0.0,1.06,0.9857283787838463
2,0.0,1.08,0.9771789221118814
2,0.0,1.1,0.9666856236266982
2,0.5,0.9,0.9808998265235176
2,0.5,0.92,0.9884353638737731
2,0.5,0.9400000000000001,0.9939809982056046
2,0.5,0.9600000000000001,0.9975163090634498
2,0.5,0.9800000000000001,0.9990222176884362
2,0.5,1.0,0.9984969779303133
2,0.5,1.02,0.9959412381714523
2,0.5,1.04,0.991365326458653
2,0.5,1.06,0.9847888146527878
2,0.5,1.08,0.9762363314572686
2,0.5,1.1,0.965745477687428
2,1.0,0.9,0.9783418692713748
2,1.0,0.92,0.9858361683863099
2,1.0,0.9400000000000001,0.9913451230222574
2,1.0,0.9600000000000001,0.9948462985255295
2,1.0,0.9800000000000001,0.996324831769488
2,1.0,1.0,0.9957751201722932
2,1.0,1.02,0.9931993838377973
2,1.0,1.04,0.9886087694419711
2,1.0,1.06,0.9820206998487438
2,1.0,1.08,0.9734624894552627
2,1.0,1.1,0.9629692025705539
2,1.5,0.9,0.9741063084616988
2,1.5,0.92,0.9815317379905101
2,1.5,0.9400000000000001,0.9869795994567352
2,1.5,0.9600000000000001,0.9904262066442
2,1.5,0.9800000000000001,0.9918574545084398
2,1.5,1.0,0.9912674599165546
2,1.5,1.02,0.9886588152055125
2,1.5,1.04,0.9840422295631169
2,1.5,1.06,0.9774361016146801
2,1.5,1.08,0.9688673167534124
2,1.5,1.1,0.9583708014586032
2,2.0,0.9,0.9682073004405678
2,2.0,0.92,0.9755392597891764
2,2.0,0.9400000000000001,0.9809017414154537
2,2.0,0.9600000000000001,0.9842729363329243
2,2.0,0.9800000000000001,0.985638236658741
2,2.0,1.0,0.9849917072975622
2,2.0,1.02,0.9823371479243236
2,2.0,1.04,0.9776854168587802
2,2.0,1.06,0.9710538597846461
2,2.0,1.08,0.9624707036713567
2,2.0,1.1,0.9519687835739904
2,2.5,0.9,0.9606706103637305
2,2.5,0.92,0.9678828923273625
2,2.5,0.9400000000000001,0.9731367352177045
2,2.5,0.9600000000000001,0.9764112576162821
2,2.5,0.9800000000000001,0.9776926688104985
2,2.5,1.0,0.97697476063343
2,2.5,1.02,0.974262743528436
2,2.5,1.04,0.9695651569795655
2,2.5,1.06,0.9629019993305379
2,2.5,1.08,0.9543004331643571
2,2.5,1.1,0.9437947064058577
2,3.0,0.9,0.9515264834279792
2,3.0,0.92,0.9585931853977152
2,3.0,0.9400000000000001,0.9637219150216569
2,3.0,0.9600000000000001,0.96687889107978
2,3.0,0.9800000000000001,0.968053560034902
2,3.0,1.0,0.9672504181870257
2,3.0,1.02,0.9644672314808893
2,3.0,1.04,0.9597154407753836
2,3.0,1.06,0.9530143068661663
2,3.0,1.08,0.9443901816666879
2,3.0,1.1,0.9338782230398809
2,3.5,0.9,0.9408105210090831
2,3.5,0.92,0.9477072299129952
2,3.5,0.9400000000000001,0.9526766849124598
2,3.5,0.9600000000000001,0.9556986670270301
2,3.5,0.9800000000000001,0.9567602722458285
2,3.5,1.0,0.9558569279670113
2,3.5,1.02,0.9529922839848985
2,3.5,1.04,0.9481774099811512
2,3.5,1.06,0.9414321744549814
2,3.5,1.08,0.9327828588767885
2,3.5,1.1,0.9222647102794617
2,4.0,0.9,0.9285738897569666
2,4.0,0.92,0.9352685229870026
2,4.0,0.9400000000000001,0.940063868053997
2,4.0,0.9600000000000001,0.9429307178843221
2,4.0,0.9800000000000001,0.9438587149425304
2,4.0,1.0,0.9428416881784049
2,4.0,1.02,0.9398847704182892
2,4.0,1.04,0.9349992254393235
2,4.0,1.06,0.9282049882036753
2,4.0,1.08,0.9195300891159437
2,4.0,1.1,0.9090107489142706
3,-4.0,0.9,0.9593934868118319
3,-4.0,0.92,0.9703538014063121
3,-4.0,0.9400000000000001,0.9795658244040094
3,-4.0,0.9600000000000001,0.9869939763725551
3,-4.0,0.9800000000000001,0.9926111066003791
3,-4.0,1.0,0.9963963339291189
3,-4.0,1.02,0.9983356293679524
3,-4.0,1.04,0.9984217590099375
3,-4.0,1.06,0.9966545579460498
3,-4.0,1.08,0.9930406479521986
3,-4.0,1.1,0.9875928231533471
3,-3.5,0.9,0.9596944828485349
3,-3.5,0.92,0.9706597561091889
3,-3.5,0.9400000000000001,0.9798765180979069
3,-3.5,0.9600000000000001,0.9873088158019457
3,-3.5,0.9800000000000001,0.9929296593466075
3,-3.5,1.0,0.9967180992348197
3,-3.5,1.02,0.9986601084352483
3,-3.5,1.04,0.9987484633570782
3,-3.5,1.06,0.9969829469613548
3,-3.5,1.08,0.993369969171123
3,-3.5,1.1,0.9879230158654186
3,-3.0,0.9,0.95995536325782
3,-3.0,0.92,0.9709256873371476
3,-3.0,0.9400000000000001,0.9801457638603744
3,-3.0,0.9600000000000001,0.9875816629987001
3,-3.0,0.9800000000000001,0.9932057070737516
3,-3.0,1.0,0.9969969296930917
3,-3.0,1.02,0.998941287805034
3,-3.0,1.04,0.9990315758468363
3,-3.0,1.06,0.9972674757366882
3,-3.0,1.08,0.9936555484601123
3,-3.0,1.1,0.9882091675489474
3,-2.5,0.9,0.9601760240368098
3,-2.5,0.92,0.9711500960264733
3,-2.5,0.9400000000000001,0.9803735142693414
3,-2.5,0.9600000000000001,0.987812488040989
3,-2.5,0.9800000000000001,0.9934402577106155
3,-2.5,1.0,0.9972327937444574
3,-2.5,1.02,0.9991791376870668
3,-2.5,1.04,0.9992710508053917
3,-2.5,1.06,0.9975081892949975
3,-2.5,1.08,0.993897109735925
3,-2.5,1.1,0.9884512215581971
3,-2.0,0.9,0.9603563781494284
3,-2.0,0.92,0.9713336592541215
3,-2.0,0.9400000000000001,0.9805597869250665
3,-2.0,0.9600000000000001,0.9880012635474008
3,-2.0,0.9800000000000001,0.9936312203241527
3,-2.0,1.0,0.9974256824719439
3,-2.0,1.02,0.9993736327762157
3,-2.0,1.04,0.9994668606664625
3,-2.0,1.06,0.9977050032152474
3,-2.0,1.08,0.9940946265653355
3,-2.0,1.1,0.9886491258974023
3,-1.5,0.9,0.9604967832944314
3,-1.5,0.92,0.9714755634078145
3,-1.5,0.9400000000000001,0.9807046136591615
3,-1.5,0.9600000000000001,0.9881479706867909
3,-1.5,0.9800000000000001,0.9937796069182072
3,-1.5,1.0,0.9975755562033483
3,-1.5,1.02,0.9995247570468793
3,-1.5,1.04,0.9996189946273063
3,-1.5,1.06,0.9978578871096841
3,-1.5,1.08,0.9942480596731929
3,-1.5,1.1,0.9888027996571817
3,-1.0,0.9,0.9605968465709858
3,-1.0,0.92,0.9715777834303044
3,-1.0,0.9400000000000001,0.9808078502572791
3,-1.0,0.9600000000000001,0.9882525138957307
3,-1.0,0.9800000000000001,0.9938854006660615
3,-1.0,1.0,0.9976824052496548
3,-1.0,1.02,0.999632488217407
3,-1.0,1.04,0.9997274362503609
3,-1.0,1.06,0.9979668741070669
3,-1.0,1.08,0.9943574174503897
3,-1.0,1.1,0.9889123529093159
3,-0.5,0.9,0.9606557299766798
3,-0.5,0.92,0.9716385742609437
3,-0.5,0.9400000000000001,0.9808695260046636
3,-0.5,0.9600000000000001,0.9883150156027223
3,-0.5,0.9800000000000001,0.9939485895525619
3,-0.5,1.0,0.9977462185907557
3,-0.5,1.02,0.9996968075349332
3,-0.5,1.04,0.9997921556030599
3,-0.5,1.06,0.9980319392103871
3,-0.5,1.08,0.9944226747681872
3,-0.5,1.1,0.9889778056275502
3,0.0,0.9,0.960676055715521
3,0.0,0.92,0.9716584447981933
3,0.0,0.9400000000000001,0.9808896087913437
3,0.0,0.9600000000000001,0.9883353978766788
3,0.0,0.9800000000000001,0.993969166377057
3,0.0,1.0,0.9977669860911296
3,0.0,1.02,0.9997177148165369
3,0.0,1.04,0.9998131849186657
3,0.0,1.06,0.9980531466952745
3,0.0,1.08,0.9944438246758094
3,0.0,1.1,0.9889988737832907
3,0.5,0.9,0.9606553103481631
3,0.5,0.92,0.971637370709384
3,0.5,0.9400000000000001,0.9808682757821465
3,0.5,0.9600000000000001,0.9883136387824439
3,0.5,0.9800000000000001,0.993947128183037
3,0.5,1.0,0.9977446991757999
3,0.5,1.02,0.9996952108905539
3,0.5,1.04,0.9997905001414521
3,0.5,1.06,0.9980301929405712
3,0.5,1.08,0.9944208264060359
3,0.5,1.1,0.9889757847106936
3,1.0,0.9,0.9605944577749322
3,1.0,0.92,0.9715753134448162
3,1.0,0.9400000000000001,0.9808052958793576
3,1.0,0.9600000000000001,0.9882498013608195
3,1.0,0.9800000000000001,0.9938824786523006
3,1.0,1.0,0.9976793671068375
3,1.0,1.02,0.9996292911860877
3,1.0,1.04,0.9997240789140927
3,1.0,1.06,0.9979634002129153
3,1.0,1.08,0.9943537544916744
3,1.0,1.1,0.9889085166295261
3,1.5,0.9,0.9604933785909044
3,1.5,0.92,0.9714724236112064
3,1.5,0.9400000000000001,0.9807006683367823
3,1.5,0.9600000000000001,0.9881438438431203
3,1.5,0.9800000000000001,0.9937752243581716
3,1.5,1.0,0.9975710031911981
3,1.5,1.02,0.9995199638351004
3,1.5,1.04,0.9996139661090421
3,1.5,1.06,0.9978526692115965
3,1.5,1.08,0.994242673061275
3,1.5,1.1,0.9887970930046494
3,2.0,0.9,0.9603519877709307
3,2.0,0.92,0.9713286044640158
3,2.0,0.9400000000000001,0.9805545379859433
3,2.0,0.9600000000000001,0.9879957742478881
3,2.0,0.9800000000000001,0.9936253773679184
3,2.0,1.0,0.9974201221683069
3,2.0,1.02,0.9993672447361948
3,2.0,1.04,0.9994601640266947
3,2.0,1.06,0.9976980135044845
3,2.0,1.08,0.9940872836069472
3,2.0,1.1,0.9886414616827447
3,2.5,0.9,0.960169333224137
3,2.5,0.92,0.9711438639084392
3,2.5,0.9400000000000001,0.9803670161090352
3,2.5,0.9600000000000001,0.9878056486645098
3,2.5,0.9800000000000001,0.9934329545685825
3,2.5,1.0,0.9972257096990358
3,2.5,1.02,0.9991711609014663
3,2.5,1.04,0.9992626819725982
3,2.5,1.06,0.9974994229370268
3,2.5,1.08,0.9938879524844334
3,2.5,1.1,0.9884416752059751
3,3.0,0.9,0.9599485594810365
3,3.0,0.92,0.9709182708476
3,3.0,0.9400000000000001,0.9801380719482609
3,3.0,0.9600000000000001,0.987573465445882
3,3.0,0.9800000000000001,0.9931979776742403
3,3.0,1.0,0.9969883107654435
3,3.0,1.02,0.9989317287784496
3,3.0,1.04,0.9990215513302463
3,3.0,1.06,0.9972570111651009
3,3.0,1.08,0.9936445764677303
3,3.0,1.1,0.9881976792027698
3,3.5,0.9,0.9596865895158543
3,3.5,0.92,0.9706518118216918
3,3.5,0.9400000000000001,0.9798675437318194
3,3.5,0.9600000000000001,0.9872992352510327
3,3.5,0.9800000000000001,0.9929195376508347
3,3.5,1.0,0.9967079523606236
3,3.5,1.02,0.998648928037269
3,3.5,1.04,0.998736796863105
3,3.5,1.06,0.9969707095980317
3,3.5,1.08,0.9933571790842719
3,3.5,1.1,0.9879095629685797
3,4.0,0.9,0.9593842977821223
3,4.0,0.92,0.9703445611101901
3,4.0,0.9400000000000001,0.9795555739588908
3,4.0,0.9600000000000001,0.9869830235049657
3,4.0,0.9800000000000001,0.9925995433717232
3,4.0,1.0,0.9963846663532189
3,4.0,1.02,0.9983228679000744
3,4.0,1.04,0.9984084486412148
3,4.0,1.06,0.9966405646415218
3,4.0,1.08,0.9930258108194548
3,4.0,1.1,0.9875774624303921
4,-4.0,0.9,0.9537536818859597
4,-4.0,0.92,0.9653969091654981
4,-4.0,0.9400000000000001,0.9753446013028984
4,-4.0,0.9600000000000001,0.9835605744911474
4,-4.0,0.9800000000000001,0.990015154218463
4,-4.0,1.0,0.9946846205128349
4,-4.0,1.02,0.997551985700242
4,-4.0,1.04,0.9986069997053233
4,-4.0,1.06,0.9978457058543343
4,-4.0,1.08,0.9952709132188118
4,-4.0,1.1,0.9908919479063293
4,-3.5,0.9,0.9540521469709364
4,-3.5,0.92,0.9657005972166233
4,-3.5,0.9400000000000001,0.9756530955284339
4,-3.5,0.9600000000000001,0.9838734003109703
4,-3.5,0.9800000000000001,0.9903318648882842
4,-3.5,1.0,0.9950047595472861
4,-3.5,1.02,0.9978750499305175
4,-3.5,1.04,0.998932501491619
4,-3.5,1.06,0.9981731711058422
4,-3.5,1.08,0.9955998108762676
4,-3.5,1.1,0.9912217853893222
4,-3.0,0.9,0.9543107361689778
4,-3.0,0.92,0.9659635984167879
4,-3.0,0.9400000000000001,0.9759204393214601
4,-3.0,0.9600000000000001,0.9841445276227953
4,-3.0,0.9800000000000001,0.9906063204952472
4,-3.0,1.0,0.9952821709178742
4,-3.0,1.02,0.9981550119955043
4,-3.0,1.04,0.9992145459612203
4,-3.0,1.06,0.9984569307276083
4,-3.0,1.08,0.9958848161398349
4,-3.0,1.1,0.9915076393772659
4,-2.5,0.9,0.9545295938750527
4,-2.5,0.92,0.9661863918237945
4,-2.5,0.9400000000000001,0.9761466008983237
4,-2.5,0.9600000000000001,0.9843738358847179
4,-2.5,0.9800000000000001,0.9908384938181692
4,-2.5,1.0,0.9955168336116121
4,-2.5,1.02,0.9983918308616185
4,-2.5,1.04,0.999453146977574
4,-2.5,1.06,0.9986969509288451
4,-2.5,1.08,0.9961258917693346
4,-2.5,1.1,0.9917493848905592
4,-2.0,0.9,0.9547085568810674
4,-2.0,0.92,0.9663685442295402
4,-2.0,0.9400000000000001,0.97633154875142
4,-2.0,0.9600000000000001,0.9845613500722095
4,-2.0,0.9800000000000001,0.9910283517571423
4,-2.0,1.0,0.9957087288045466
4,-2.0,1.02,0.998585534418193
4,-2.0,1.04,0.9996482521444721
4,-2.0,1.06,0.9988932030745719
4,-2.0,1.08,0.996323009597197
4,-2.0,1.1,0.9919469995061239
4,-1.5,0.9,0.954847600156325
4,-1.5,0.92,0.9665100227834628
4,-1.5,0.9400000000000001,0.9764751495202627
4,-1.5,0.9600000000000001,0.9847070674673469
4,-1.5,0.9800000000000001,0.9911758758228794
4,-1.5,1.0,0.9958578248447175
4,-1.5,1.02,0.9987359764619297
4,-1.5,1.04,0.9997998383077117
4,-1.5,1.06,0.999045665723709
4,-1.5,1.08,0.9964760984250522
4,-1.5,1.1,0.9921005394586778
4,-1.0,0.9,0.9549467518536873
4,-1.0,0.92,0.9666109030327502
4,-1.0,0.9400000000000001,0.9765776326930382
4,-1.0,0.9600000000000001,0.9848109568043294
4,-1.0,0.9800000000000001,0.9912810469608969
4,-1.0,1.0,0.9959641111508997
4,-1.0,1.02,0.9988432164157941
4,-1.0,1.04,0.9999078966273196
4,-1.0,1.06,0.9991543199026197
4,-1.0,1.08,0.9965852051240376
4,-1.0,1.1,0.9922099287048575
4,-0.5,0.9,0.9550049578413512
4,-0.5,0.92,0.9666711894765434
4,-0.5,0.9400000000000001,0.9766388586887947
4,-0.5,0.9600000000000001,0.984873012221498
4,-0.5,0.9800000000000001,0.9913438578987647
4,-0.5,1.0,0.9960275751431747
4,-0.5,1.02,0.9989072264457929
4,-0.5,1.04,0.9999723687357495
4,-0.5,1.06,0.9992191751491404
4,-0.5,1.08,0.9966503162607178
4,-0.5,1.1,0.9922751877421512
4,0.0,0.9,0.9550253992454848
4,0.0,0.92,0.9666908277882643
4,0.0,0.9400000000000001,0.9766588417178228
4,0.0,0.9600000000000001,0.9848932282008078
4,0.0,0.9800000000000001,0.9913642878165919
4,0.0,1.0,0.9960482026801678
4,0.0,1.02,0.99892801743952
4,0.0,1.04,0.999993285893352
4,0.0,1.06,0.9992401802996493
4,0.0,1.08,0.9966713759955032
4,0.0,1.1,0.9922964704889762
4,0.5,0.9,0.9550048883210139
4,0.5,0.92,0.9666699246029347
4,0.5,0.9400000000000001,0.9766375449713024
4,0.5,0.9600000000000001,0.9848716085492796
4,0.5,0.9800000000000001,0.9913436082022312
4,0.5,1.0,0.9960259962354653
4,0.5,1.02,0.9989055748993246
4,0.5,1.04,0.9999706367736545
4,0.5,1.06,0.9992173383903091
4,0.5,1.08,0.9966484187146596
4,0.5,1.1,0.9922732044689327
