n,detuning_MHz,probe_duration_ns,probe_amplitude_MHz,storage_target_probability,storage_total_f_probability,dump_witness_target_probability,dump_witness_readout_n
2,-9.0,400.0,0.21213203435596423,0.003937133922424394,0.003937133922424393,0.003920948657479331,0.00392094865747933
2,-8.5,400.0,0.21213203435596423,0.004544227978282287,0.004544227978282288,0.0045255483618274455,0.004525548361827446
2,-8.0,400.0,0.21213203435596423,0.0020581821521977175,0.002058182152197718,0.002049717309752871,0.002049717309752871
2,-7.5,400.0,0.21213203435596423,4.461627742575601e-06,4.461627742575602e-06,4.436956866457027e-06,4.436956866457028e-06
2,-7.0,400.0,0.21213203435596423,0.0023174914474482547,0.0023174914474482543,0.0023079624151338594,0.0023079624151338594
2,-6.5,400.0,0.21213203435596423,0.007454459630786542,0.007454459630786541,0.007423815580424279,0.007423815580424278
2,-6.0,400.0,0.21213203435596423,0.009097098798993359,0.009097098798993359,0.009059730513727512,0.009059730513727512
2,-5.5,400.0,0.21213203435596423,0.004463312287439815,0.004463312287439814,0.004444960584851449,0.004444960584851449
2,-5.0,400.0,0.21213203435596423,2.4611353920793418e-05,2.461135392079342e-05,2.450973331346697e-05,2.4509733313466972e-05
2,-4.5,400.0,0.21213203435596423,0.005234763218752514,0.005234763218752515,0.005213236010434023,0.005213236010434023
2,-4.0,400.0,0.21213203435596423,0.019066861015271414,0.01906686101527141,0.018988569269351295,0.0189885692693513
2,-3.5,400.0,0.21213203435596423,0.026626082804142345,0.026626082804142342,0.026516761427668834,0.026516761427668838
2,-3.0,400.0,0.21213203435596423,0.015906352594765943,0.015906352594765947,0.01584100751491733,0.01584100751491733
2,-2.5,400.0,0.21213203435596423,0.0004107997276632329,0.0004107997276632329,0.00040910814477401416,0.0004091081447740142
2,-2.0,400.0,0.21213203435596423,0.02030572582162271,0.02030572582162271,0.020222347705727364,0.020222347705727367
2,-1.5,400.0,0.21213203435596423,0.1107843166150782,0.1107843166150782,0.11032979086172622,0.11032979086172623
2,-1.0,400.0,0.21213203435596423,0.26132667474632953,0.26132667474632953,0.2602552403635967,0.2602552403635967
2,-0.5,400.0,0.21213203435596423,0.4068661888007574,0.4068661888007574,0.4051989325189257,0.40519893251892575
2,0.0,400.0,0.21213203435596423,0.46730979263140027,0.4673097926314003,0.4653952734162996,0.46539527341629955
2,0.5,400.0,0.21213203435596423,0.4066755128107253,0.4066755128107252,0.4050090741632062,0.40500907416320614
2,1.0,400.0,0.21213203435596423,0.2610816865264059,0.2610816865264059,0.26001125976512535,0.26001125976512535
2,1.5,400.0,0.21213203435596423,0.11060454845991843,0.11060454845991842,0.11015076453447752,0.1101507645344775
2,2.0,400.0,0.21213203435596423,0.020288565030207716,0.02028856503020772,0.0202052547344112,0.020205254734411204
2,2.5,400.0,0.21213203435596423,0.0004237013586318006,0.00042370135863180054,0.00042195655147073157,0.00042195655147073157
2,3.0,400.0,0.21213203435596423,0.015927072429085032,0.015927072429085032,0.015861623252204183,0.01586162325220418
2,3.5,400.0,0.21213203435596423,0.02658913457408662,0.026589134574086622,0.02647996534363444,0.026479965343634445
2,4.0,400.0,0.21213203435596423,0.01899812342729788,0.018998123427297883,0.018920113960935132,0.018920113960935132
2,4.5,400.0,0.21213203435596423,0.005220135801242887,0.005220135801242888,0.0051986676763114996,0.005198667676311499
2,5.0,400.0,0.21213203435596423,2.5865389976441805e-05,2.5865389976441802e-05,2.5758142991442458e-05,2.5758142991442454e-05
2,5.5,400.0,0.21213203435596423,0.004464588156794405,0.004464588156794404,0.004446234923469999,0.004446234923469998
2,6.0,400.0,0.21213203435596423,0.009087760898417216,0.009087760898417216,0.009050433520286887,0.009050433520286887
2,6.5,400.0,0.21213203435596423,0.00741568738273996,0.007415687382739959,0.007385206746066259,0.007385206746066258
2,7.0,400.0,0.21213203435596423,0.0023179381172946387,0.0023179381172946383,0.002308407076347409,0.0023084070763474095
2,7.5,400.0,0.21213203435596423,4.462404584871027e-06,4.462404584871027e-06,4.4377301250733274e-06,4.437730125073327e-06
2,8.0,400.0,0.21213203435596423,0.0020523052232498734,0.0020523052232498734,0.002043865142334526,0.002043865142334526
2,8.5,400.0,0.21213203435596423,0.004515813244026054,0.004515813244026055,0.0044972517078038345,0.0044972517078038345
2,9.0,400.0,0.21213203435596423,0.0039120880947980715,0.003912088094798072,0.003896006712547966,0.003896006712547966
2,9.5,400.0,0.21213203435596423,0.0012962169882064676,0.0012962169882064674,0.0012908834462836418,0.0012908834462836416
2,10.0,400.0,0.21213203435596423,1.003661605489522e-06,1.003661605489522e-06,9.96201940868088e-07,9.96201940868088e-07
3,-10.0,400.0,0.17320508075688773,1.132100856564057e-06,1.132100856564057e-06,1.1236727002590741e-06,1.1236727002590743e-06
3,-9.5,400.0,0.17320508075688773,0.0012992130278979303,0.0012992130278979305,0.0012938471411150154,0.0012938471411150154
3,-9.0,400.0,0.17320508075688773,0.003939962013476317,0.003939962013476317,0.003923696079294568,0.003923696079294568
3,-8.5,400.0,0.17320508075688773,0.0045305341901220085,0.0045305341901220085,0.004511836621040176,0.004511836621040175
3,-8.0,400.0,0.17320508075688773,0.0020586604744126267,0.002058660474412627,0.0020501652055712515,0.0020501652055712515
3,-7.5,400.0,0.17320508075688773,4.3220466565495255e-06,4.3220466565495255e-06,4.297774526785324e-06,4.297774526785324e-06
3,-7.0,400.0,0.17320508075688773,0.002316895391592045,0.002316895391592045,0.0023073598798316114,0.0023073598798316114
3,-6.5,400.0,0.17320508075688773,0.007444065023285468,0.007444065023285469,0.007413376988210099,0.007413376988210098
3,-6.0,400.0,0.17320508075688773,0.009131787799087335,0.009131787799087335,0.009094143141167202,0.009094143141167202
3,-5.5,400.0,0.17320508075688773,0.004496122629262586,0.004496122629262586,0.004477567180747614,0.004477567180747613
3,-5.0,400.0,0.17320508075688773,2.562377900409226e-05,2.5623779004092263e-05,2.548360879066865e-05,2.548360879066865e-05
3,-4.5,400.0,0.17320508075688773,0.005243763085084407,0.005243763085084408,0.005222124142856354,0.005222124142856354
3,-4.0,400.0,0.17320508075688773,0.019072044747200794,0.019072044747200798,0.01899346525752887,0.01899346525752887
