n,detuning_MHz,probe_duration_ns,probe_amplitude_MHz,dump_target_probability,readout_n,final_f_probability
2,-5.5,400.0,0.3,0.004492061979336649,0.00449206197933665,0.9955079380206634
2,-5.0,400.0,0.3,2.5336920369535653e-05,2.5336920369535656e-05,0.9999746630796307
2,-4.5,400.0,0.3,0.005258043219690265,0.005258043219690265,0.9947419567803096
2,-4.0,400.0,0.3,0.019149272244163597,0.019149272244163594,0.9808507277558364
2,-3.5,400.0,0.3,0.026761140565127944,0.026761140565127947,0.9732388594348717
2,-3.0,400.0,0.3,0.015996814865135815,0.015996814865135815,0.9840031851348641
2,-2.5,400.0,0.3,0.0004164353970786703,0.00041643539707867034,0.9995835646029214
2,-2.0,400.0,0.3,0.02030697418773933,0.02030697418773933,0.9796930258122608
2,-1.5,400.0,0.3,0.11088239875451672,0.1108823987545167,0.889117601245483
2,-1.0,400.0,0.3,0.26159838574815786,0.2615983857481578,0.7384016142518421
2,-0.5,400.0,0.3,0.4073005624913678,0.40730056249136787,0.592699437508632
2,0.0,400.0,0.3,0.467824288143189,0.467824288143189,0.5321757118568111
2,0.5,400.0,0.3,0.4071510511420538,0.40715105114205385,0.5928489488579463
2,1.0,400.0,0.3,0.261396926009788,0.261396926009788,0.7386030739902121
2,1.5,400.0,0.3,0.11073952338983507,0.11073952338983506,0.8892604766101649
2,2.0,400.0,0.3,0.020258887603733778,0.02025888760373378,0.9797411123962662
2,2.5,400.0,0.3,0.0004195960512056821,0.0004195960512056821,0.9995804039487948
2,3.0,400.0,0.3,0.015989854720231244,0.015989854720231244,0.9840101452797686
2,3.5,400.0,0.3,0.02672641099952962,0.026726410999529625,0.9732735890004703
2,4.0,400.0,0.3,0.019111933308011933,0.019111933308011933,0.9808880666919879
2,4.5,400.0,0.3,0.005242417816435556,0.005242417816435556,0.9947575821835642
2,5.0,400.0,0.3,2.57387946034911e-05,2.5738794603491102e-05,0.9999742612053965
2,5.5,400.0,0.3,0.004486569520227821,0.00448656952022782,0.9955134304797721
2,6.0,400.0,0.3,0.00912594258636974,0.00912594258636974,0.9908740574136303
2,6.5,400.0,0.3,0.007460374464592241,0.00746037446459224,0.9925396255354078
2,7.0,400.0,0.3,0.002316052208375637,0.002316052208375637,0.9976839477916243
2,7.5,400.0,0.3,4.4290113110202e-06,4.4290113110202e-06,0.999995570988689
2,8.0,400.0,0.3,0.002057121008616176,0.002057121008616176,0.9979428789913836
2,8.5,400.0,0.3,0.004535074743981437,0.004535074743981438,0.9954649252560185
2,9.0,400.0,0.3,0.0039357359614831,0.003935735961483101,0.9960642640385171
2,9.5,400.0,0.3,0.0012972309909977458,0.0012972309909977458,0.9987027690090023
2,10.0,400.0,0.3,1.1140198616310613e-06,1.1140198616310613e-06,0.9999988859801388
3,-10.0,400.0,0.3,1.0768414370307838e-06,1.0768414370307836e-06,0.9999989231585629
3,-9.5,400.0,0.3,0.0013030684181828613,0.0013030684181828615,0.998696931581817
3,-9.0,400.0,0.3,0.003949864617925646,0.003949864617925646,0.9960501353820744
3,-8.5,400.0,0.3,0.00454847127810995,0.004548471278109949,0.9954515287218902
3,-8.0,400.0,0.3,0.002061345876216324,0.002061345876216324,0.9979386541237839
3,-7.5,400.0,0.3,4.321158869531762e-06,4.321158869531761e-06,0.9999956788411304
3,-7.0,400.0,0.3,0.0023245554270188433,0.0023245554270188433,0.9976754445729811
3,-6.5,400.0,0.3,0.00748052422760362,0.00748052422760362,0.9925194757723963
3,-6.0,400.0,0.3,0.00914465076749415,0.00914465076749415,0.9908553492325057
3,-5.5,400.0,0.3,0.004491470011564108,0.004491470011564108,0.9955085299884359
3,-5.0,400.0,0.3,2.532169407585584e-05,2.532169407585584e-05,0.9999746783059241
3,-4.5,400.0,0.3,0.005257636782414348,0.005257636782414348,0.9947423632175857
3,-4.0,400.0,0.3,0.019147172945224576,0.019147172945224576,0.9808528270547756
3,-3.5,400.0,0.3,0.02675759329427469,0.026757593294274688,0.973242406705725
3,-3.0,400.0,0.3,0.01599410825216646,0.01599410825216646,0.9840058917478335
3,-2.5,400.0,0.3,0.000416263633309951,0.0004162636333099511,0.99958373636669
3,-2.0,400.0,0.3,0.02030579118297348,0.020305791182973477,0.9796942088170263
3,-1.5,400.0,0.3,0.11087289474204849,0.1108728947420485,0.8891271052579516
3,-1.0,400.0,0.3,0.26157283920735314,0.2615728392073532,0.7384271607926467
