average_gate_fidelity,case_id,chi_t_over_2pi,crosstalk_diagonal_mean,crosstalk_diagonal_min,crosstalk_offdiag_max,crosstalk_offdiag_mean,family,frobenius_error,include_chi_prime,leakage_loss,leakage_outside_target_max,leakage_outside_target_mean,logical_levels,max_residual_z_error_rad,max_transverse_error_rad,mean_residual_z_error_rad,mean_transverse_error_rad,min_transition_spacing_hz,model_variant,n_active,n_cav,n_tr,notable_failure_mode,operator_norm_error,optimized_parameter_count,other_target_population_max,other_target_population_mean,parameter_count,per_block_average_gate_fidelities,per_block_process_fidelities,per_block_residual_z_errors_rad,per_block_rotation_angle_errors_rad,per_block_rotation_axis_errors_rad,per_block_transverse_errors_rad,preservation_loss,pulse_duration_ns,pulse_duration_s,qubit_loss,random_seed,restricted_process_fidelity,restricted_unitarity_error,runtime_s,same_block_population_mean,same_block_population_min,state_transfer_fidelity_mean,state_transfer_fidelity_min,state_validation_ground_fidelity,state_validation_plus_fidelity,subspace_loss,success_tier,transition_frequencies_hz,weighted_loss,sequence_family,comparison_group,active_sqr_duration_ns,total_gate_duration_ns,half_sqr_duration_ns,pi_pulse_duration_ns,half_waveforms_identical,second_half_transform,x_pi_pulse_type,x_pi_axis,x_pi_phase_rad,timing_mode,worst_block_average_gate_fidelity,max_rotation_angle_error_rad,max_rotation_axis_error_rad,target_operator_rule,baseline_artifact,restricted_fro_error,optimizer_success,optimizer_runtime_s
0.20850138707358265,chi_only_na2_chiT1p0_familyD_seed316161,1.0,,,,,D,,False,,1.1102230246251565e-16,2.7755575615628914e-17,,1.5749049786593634,1.754327368371853,0.8408681514169442,1.6782240077905213,,chi_only,2,,,,,,0.0,0.0,,"[0.6047677736210583, 0.45816400003608343]","[0.4071516604315875, 0.1872460000541252]","[0.10683132417452487, 1.5749049786593634]","[1.7269233539686073, 1.179749574395901]","[2.979612462147532, 2.0982730587114498]","[1.754327368371853, 1.6021206472091898]",,352.112676056338,,,316161.0,0.010626733841978339,1.2690602148644612e-06,,1.0000000000000002,0.9999999999999999,0.31706396004779197,0.08960713838797715,0.08960769572909291,0.011557389941070764,,,,1.0646730629133507,echoed_fixed_total,chi_only_na2_chiT1p0_familyD_seed316161,272.112676056338,352.112676056338,136.056338028169,40.0,True,identical_repeat,finite_gaussian,x,0.0,fixed_total_duration,0.45816400003608343,1.7269233539686073,2.979612462147532,"half_target W_n = X_pi^dagger sqrt(R_n), repeated identically in both halves",,1.339542715617362,True,0.0
0.23880551618869914,chi_only_na2_chiT1p0_familyD_seed316161,1.0,,,,,D,,False,,6.661338147750939e-16,4.163336342344337e-16,,1.4433537229197324,1.807375400159564,0.7763038138405959,1.7784002396857193,,chi_only,2,,,,,,0.0,0.0,,"[0.6063222504397303, 0.4413670768826798]","[0.4094833756595954, 0.16205061532401968]","[0.10925390476145928, 1.4433537229197324]","[1.7306211564081788, 1.2196395078067561]","[2.6752403230695747, 2.30493063847311]","[1.7494250792118744, 1.807375400159564]",,352.112676056338,,,316161.0,0.04850689523587395,1.6860785916718007e-06,,0.9999999999999996,0.9999999999999993,0.31802788740088667,0.0028181524211438264,0.0028180951998334827,0.09329435387044362,,,,1.0339833386169088,echoed_fixed_active,chi_only_na2_chiT1p0_familyD_seed316161,352.112676056338,432.11267605633793,176.056338028169,40.0,True,identical_repeat,finite_gaussian,x,0.0,fixed_active_sqr_duration,0.4413670768826798,1.7306211564081788,2.6752403230695747,"half_target W_n = X_pi^dagger sqrt(R_n), repeated identically in both halves",,1.2864913516793826,True,0.0
0.2849636557448144,chi_only_na2_chiT1p0_familyD_seed316162,1.0,3.1807220079984744e-08,7.997400359894513e-09,5.4980032501035655e-08,3.153228762113272e-08,D,1.6281969781851222,False,0.0,0.0,0.0,"[0, 1]",0.7376713211318427,2.6288778801158146,0.3838276994041615,1.553090124075518,2840000.0000000005,chi_only,2,4.0,2.0,insufficient waveform degrees of freedom,1.959208762023456,6.0,0.0,0.0,7.0,"[0.3761667346666229, 0.8794045192829016]","[0.06425010199993443, 0.8191067789243525]","[0.029984077676480266, 0.7376713211318427]","[2.626580307941449, 0.748261554660671]","[1.8499793070785018, 2.531152802053697]","[2.6288778801158146, 0.47730236803522114]",0.0,352.112676056338,3.52112676056338e-07,0.49450582128169046,316162.0,0.10620456968101796,6.117710198130859e-07,4.569148099999438,1.00000055262165,1.0000005485105894,0.36766277343836484,0.06437181700374962,0.13474752758449843,0.19940407815444872,0.893795430318982,failure,"[0.0, -2840000.0000000005]",0.9679713035112356,single_pulse,chi_only_na2_chiT1p0_familyD_seed316162,352.112676056338,352.112676056338,352.112676056338,0.0,True,not_applicable,none,none,,single,0.3761667346666229,2.626580307941449,2.531152802053697,direct single-pulse target,artifacts\cases\chi_only_na2_chiT1p0_familyD_seed316162.json,,,
0.4268173335378121,chi_only_na2_chiT1p0_familyD_seed316162,1.0,,,,,D,,False,,1.1102230246251565e-16,2.7755575615628914e-17,,0.6059404580576138,2.6204025207019446,0.32133744165902917,1.863547214888535,,chi_only,2,,,,,,0.0,0.0,,"[0.37754820640161385, 0.768060443199988]","[0.06632230960242078, 0.6520906647999819]","[0.03673442526044458, 0.6059404580576138]","[2.6189865554158005, 0.14817496671205954]","[0.601331354283996, 2.033291604179987]","[2.6204025207019446, 1.1066919090751257]",,352.112676056338,,,316162.0,0.2835216669222651,3.9553706945338316e-06,,1.0000000000000002,0.9999999999999999,0.4165430534665405,0.06650576146415647,0.30661970740823974,0.6418721147134601,,,,0.8065654638482818,echoed_fixed_total,chi_only_na2_chiT1p0_familyD_seed316162,272.112676056338,352.112676056338,136.056338028169,40.0,True,identical_repeat,finite_gaussian,x,0.0,fixed_total_duration,0.37754820640161385,2.6189865554158005,2.033291604179987,"half_target W_n = X_pi^dagger sqrt(R_n), repeated identically in both halves",,1.7505904259237997,True,0.0
0.41751484075268264,chi_only_na2_chiT1p0_familyD_seed316162,1.0,,,,,D,,False,,1.1102230246251565e-16,5.551115123125783e-17,,0.5388036698632475,2.6208537818012947,0.2879557021681325,1.8177268851911235,,chi_only,2,,,,,,0.0,0.0,,"[0.3774725089151651, 0.8031966569890675]","[0.06620876337274757, 0.7047949854836013]","[0.03710773447301747, 0.5388036698632475]","[2.6191908471671237, 0.15962681243773758]","[0.6539013039453012, 1.7915389375214779]","[2.6208537818012947, 1.014599988580952]",,352.112676056338,,,316162.0,0.2718935509408534,1.5770734202170546e-06,,1.0,0.9999999999999999,0.41772109847800654,0.06639592035632623,0.3078538748026256,0.35220074883892927,,,,0.8153967155225211,echoed_fixed_active,chi_only_na2_chiT1p0_familyD_seed316162,352.112676056338,432.11267605633793,176.056338028169,40.0,True,identical_repeat,finite_gaussian,x,0.0,fixed_active_sqr_duration,0.3774725089151651,2.6191908471671237,1.7915389375214779,"half_target W_n = X_pi^dagger sqrt(R_n), repeated identically in both halves",,1.6948341889173462,True,0.0
0.8733602085153587,chi_only_na2_chiT3p0_familyC,3.0,1.4705666498628845e-09,1.2637208890714857e-09,1.7757335714755355e-09,1.4626025593089528e-09,C,0.40661920780224675,False,0.0,0.0,0.0,"[0, 1]",0.09245874718345476,1.0054208454958846,0.0734864393559774,0.785579322820903,2840000.0000000005,chi_only,2,4.0,2.0,insufficient waveform degrees of freedom,0.5297238350230924,6.0,0.0,0.0,7.0,"[0.946715790216705, 0.8448287160128342]","[0.9200736853250576, 0.7672430740192512]","[0.09245874718345476, 0.05451413152850004]","[0.5722682135903504, 0.9463452335344005]","[1.7738103045285092, 1.4567251644862702]","[0.5657378001459215, 1.0054208454958846]",0.0,1056.3380281690138,1.0563380281690138e-06,0.15496131631648608,,0.8417002606441983,5.826643080585287e-07,4.081711800001358,1.0000005401080692,1.0000005226577573,0.8627398731671121,0.7679253340313884,0.840732867827353,0.8947295885753048,0.15829973935580166,failure,"[0.0, -2840000.0000000005]",0.18154393680327457,single_pulse,chi_only_na2_chiT3p0_familyC,1056.3380281690138,1056.3380281690138,1056.3380281690138,0.0,True,not_applicable,none,none,,single,0.8448287160128342,0.9463452335344005,1.7738103045285092,direct single-pulse target,artifacts\cases\chi_only_na2_chiT3p0_familyC.json,,,
0.2108191611632721,chi_only_na2_chiT3p0_familyC,3.0,,,,,C,,False,,0.0,0.0,,0.22965710237305875,1.4944844595867124,0.16024539795952794,1.03255761465056,,chi_only,2,,,,,,0.0,0.0,,"[0.9458860185674133, 0.6862451086065979]","[0.91882902785112, 0.5293676629098968]","[0.09083369354599713, 0.22965710237305875]","[0.5673140398426693, 0.3380308657429506]","[2.5319579439299016, 2.2259240067766206]","[0.5706307697144075, 1.4944844595867124]",,1056.3380281690138,,,,0.013523951454090138,1.5431394786293859e-06,,1.0,1.0,0.4057107649030045,0.013308488703201699,0.013308516562163211,0.0146377418944716,,,,1.0268965776007803,echoed_fixed_total,chi_only_na2_chiT3p0_familyC,976.3380281690137,1056.3380281690138,488.16901408450684,40.0,True,identical_repeat,finite_gaussian,x,0.0,fixed_total_duration,0.6862451086065979,0.5673140398426693,2.5319579439299016,"half_target W_n = X_pi^dagger sqrt(R_n), repeated identically in both halves",,1.493776237441441,True,0.0
0.28475995336001897,chi_only_na2_chiT3p0_familyC,3.0,,,,,C,,False,,1.1102230246251565e-16,5.551115123125783e-17,,0.09560939929214539,1.6035176244553928,0.09324598050263641,1.0868484438674144,,chi_only,2,,,,,,0.0,0.0,,"[0.9459657722999067, 0.6548127952344144]","[0.9189486584498601, 0.4822191928516216]","[0.09088256171312745, 0.09560939929214539]","[0.5677802142370915, 0.35364486070854606]","[2.514063801607491, 2.584475163717872]","[0.5701792632794359, 1.6035176244553928]",,1056.3380281690138,,,,0.1059499417000237,3.725514497200991e-06,,1.0,0.9999999999999999,0.4414145091366046,0.08311053549304574,0.1028319141891611,0.13818730771733753,,,,0.9386741943655763,echoed_fixed_active,chi_only_na2_chiT3p0_familyC,1056.3380281690138,1136.3380281690138,528.1690140845069,40.0,True,identical_repeat,finite_gaussian,x,0.0,fixed_active_sqr_duration,0.6548127952344144,0.5677802142370915,2.584475163717872,"half_target W_n = X_pi^dagger sqrt(R_n), repeated identically in both halves",,1.5648764816594025,True,0.0
0.35954072858578656,chi_only_na2_chiT3p0_familyD_seed316159,3.0,7.38192539059347e-09,3.344804190022837e-09,1.1953844016610345e-08,7.603335855756276e-09,D,1.0521056121409953,False,0.0,0.0,0.0,"[0, 1]",1.6363960663314363,1.8343700293607603,1.5795776521408729,1.5320089759585058,2840000.0000000005,chi_only,2,4.0,2.0,insufficient waveform degrees of freedom,1.179718352235195,6.0,0.0,0.0,7.0,"[0.5410315223838221, 0.40819025611679804]","[0.31154728357573325, 0.11228538417519704]","[1.5227592379503097, 1.6363960663314363]","[1.9561558636901428, 2.341686891480087]","[0.6774201918223809, 2.2877671472639136]","[1.2296479225562513, 1.8343700293607603]",0.0,1056.3380281690138,1.0563380281690138e-06,0.3830311423674143,316159.0,0.1994259107322332,1.7718655597853836e-06,4.437750799999776,1.0000017041141926,1.0000016526690754,0.45607688106459127,0.19036680219553198,0.2088686792820944,0.20259429618250108,0.8005740892677669,failure,"[0.0, -2840000.0000000005]",0.858028760622879,single_pulse,chi_only_na2_chiT3p0_familyD_seed316159,1056.3380281690138,1056.3380281690138,1056.3380281690138,0.0,True,not_applicable,none,none,,single,0.40819025611679804,2.341686891480087,2.2877671472639136,direct single-pulse target,artifacts\cases\chi_only_na2_chiT3p0_familyD_seed316159.json,,,
0.21976061513361622,chi_only_na2_chiT3p0_familyD_seed316159,3.0,,,,,D,,False,,1.1102230246251565e-16,2.7755575615628914e-17,,2.222186696039771,1.443632380471143,1.8751747284398723,1.3346421901371022,,chi_only,2,,,,,,0.0,0.0,,"[0.5405051310350046, 0.3728151929953168]","[0.3107576965525069, 0.05922278949297526]","[1.5281627608399737, 2.222186696039771]","[1.9567772338730371, 1.7347893353628596]","[1.0500793766852259, 1.876018172314474]","[1.2256519998030613, 1.443632380471143]",,1056.3380281690138,,,316159.0,0.024700768917020288,3.244586376830433e-06,,1.0,0.9999999999999999,0.40940966749847235,0.026876367287800382,0.5482133399835613,0.14679576886437795,,,,1.0164755235871283,echoed_fixed_total,chi_only_na2_chiT3p0_familyD_seed316159,976.3380281690137,1056.3380281690138,488.16901408450684,40.0,True,identical_repeat,finite_gaussian,x,0.0,fixed_total_duration,0.3728151929953168,1.9567772338730371,1.876018172314474,"half_target W_n = X_pi^dagger sqrt(R_n), repeated identically in both halves",,1.521259022600879,True,0.0
0.23822594032994954,chi_only_na2_chiT3p0_familyD_seed316159,3.0,,,,,D,,False,,2.220446049250313e-16,1.1102230246251565e-16,,2.150674793780391,1.7273726123065503,1.839436388789006,1.4766061931742949,,chi_only,2,,,,,,0.0,0.0,,"[0.5404604054389456, 0.35749799378708924]","[0.31069060815841837, 0.036246990680633896]","[1.5281979837976207, 2.150674793780391]","[1.95696175162584, 1.7616946205963604]","[1.0648507435723435, 2.088929210145823]","[1.2258397740420395, 1.7273726123065503]",,1056.3380281690138,,,316159.0,0.04778242541243691,3.922323434765681e-06,,1.0,0.9999999999999998,0.4024294006506214,0.014165290910813257,0.29433555086031876,0.24863015781512793,,,,1.0008023698769197,echoed_fixed_active,chi_only_na2_chiT3p0_familyD_seed316159,1056.3380281690138,1136.3380281690138,528.1690140845069,40.0,True,identical_repeat,finite_gaussian,x,0.0,fixed_active_sqr_duration,0.35749799378708924,1.95696175162584,2.088929210145823,"half_target W_n = X_pi^dagger sqrt(R_n), repeated identically in both halves",,1.554873708007769,True,0.0
0.20613431951535666,chi_only_na2_chiT3p0_familyD_seed316160,3.0,3.2178529780663805e-08,1.2133430634239702e-08,4.93896943017825e-08,3.0978270481381835e-08,D,1.474831109479928,False,0.0,0.0,0.0,"[0, 1]",2.4315689859803644,2.5915951939487085,1.5767465647740417,2.211620757112859,2840000.0000000005,chi_only,2,4.0,2.0,insufficient waveform degrees of freedom,1.5644505106471371,6.0,0.0,0.0,7.0,"[0.36671003615070813, 0.3349113645554332]","[0.0500650542260622, 0.002367046833149801]","[0.7219241435677188, 2.4315689859803644]","[2.669443319702655, 2.8979609277260563]","[1.8222628424318366, 2.4882288233705694]","[2.5915951939487085, 1.8316463202770097]",0.0,1056.3380281690138,1.0563380281690138e-06,0.6213425547292597,316160.0,0.007667899394195815,1.0232498411809142e-06,4.863253399998939,1.0000009271569268,1.0000008316288507,0.27083072967259647,0.0027890803192173646,0.07690712112346727,0.10315076452637074,0.9923321006058042,failure,"[0.0, -2840000.0000000005]",1.085533483815193,single_pulse,chi_only_na2_chiT3p0_familyD_seed316160,1056.3380281690138,1056.3380281690138,1056.3380281690138,0.0,True,not_applicable,none,none,,single,0.3349113645554332,2.8979609277260563,2.4882288233705694,direct single-pulse target,artifacts\cases\chi_only_na2_chiT3p0_familyD_seed316160.json,,,
