rank,construction,ansatz,envelope,duration_ns,n_active,f_unitary,f_decoherence,f_practical,mean_abs_eps_z,mean_abs_eps_perp,parameter_count,study,case_id
816,symmetric echo,echoed_fixed_total,gaussian,1760.5633802816897,2,0.0136331654038843,0.9103767869122359,0.012411317315831245,,,14,multitone_sqr_arbitrary_fock_conditional_rotations,chi_plus_chiprime_na2_chiT5p0_familyC
817,symmetric echo,echoed_fixed_total,gaussian,352.112676056338,4,0.0119290948993643,0.9813958904975115,0.01170716471159095,,,26,multitone_sqr_arbitrary_fock_conditional_rotations,chi_plus_chiprime_na4_chiT1p0_familyD_seed318260
818,two-segment direct,symmetric two segment,gaussian,1760.5633802816897,3,0.0127578250101602,0.9103767869122359,0.011614427740738205,,,18,parameterized_waveform_residual_z_cancellation,chi_plus_chiprime_na3_chiT5p0_targetD_seed93361
819,direct,baseline multitone,gaussian,1760.5633802816897,3,0.0124728358420981,0.9103767869122359,0.01135498021761304,,,9,parameterized_waveform_residual_z_cancellation,chi_plus_chiprime_na3_chiT5p0_targetD_seed93361
820,echoed,echoed multitone,gaussian,1056.3380281690138,2,0.0118589127203818,0.9452195710415633,0.011209276394578624,,,15,parameterized_waveform_residual_z_cancellation,chi_only_na2_chiT3p0_targetC
821,echoed,echoed multitone,gaussian,1056.3380281690138,2,0.011832018225633,0.9452195710415633,0.011183855191788782,,,15,parameterized_waveform_residual_z_cancellation,chi_plus_chiprime_na2_chiT3p0_targetC
822,single pulse,single_pulse,gaussian,352.112676056338,2,0.0113697626882278,0.9813958904975115,0.011158238378158701,,,6,multitone_sqr_arbitrary_fock_conditional_rotations,chi_only_na2_chiT1p0_familyD_seed316160
823,CPSQR echo,echoed cpsqr,rich envelope,1760.5633802816897,3,0.0121455877691046,0.906500787300615,0.01100998487492204,1.2978015951941724,1.8390744272249124,21,native_rich_multitone_sqr_cpsqr_feasibility,chi_plus_chiprime_smooth_x_na3_chiT5p0
824,basis-expanded,basis expanded,gaussian,1760.5633802816897,2,0.0119739480699215,0.9103767869122359,0.010900804370549104,,,12,parameterized_waveform_residual_z_cancellation,chi_plus_chiprime_na2_chiT5p0_targetD_seed92361
825,rich envelope,complex envelope,rich envelope,1760.5633802816897,2,0.0119220489143258,0.9103767869122359,0.010853556584034432,,,12,parameterized_waveform_residual_z_cancellation,chi_plus_chiprime_na2_chiT5p0_targetD_seed92361
826,single pulse,single_pulse,gaussian,352.112676056338,3,0.0110348709398424,0.9813958904975115,0.010829576992531745,,,9,multitone_sqr_arbitrary_fock_conditional_rotations,chi_plus_chiprime_na3_chiT1p0_familyD_seed317259
827,CPSQR echo,echoed cpsqr,rich envelope,1056.3380281690138,3,0.0114718556637399,0.9411952255805155,0.010797255779260788,1.8276528223110804,1.568490844060804,21,native_rich_multitone_sqr_cpsqr_feasibility,chi_plus_chiprime_staggered_x_na3_chiT3p0
828,echoed,echoed multitone,gaussian,1760.5633802816897,2,0.0118366796356329,0.9103767869122359,0.010775838374396975,,,15,parameterized_waveform_residual_z_cancellation,chi_plus_chiprime_na2_chiT5p0_targetC
829,echoed,echoed multitone,gaussian,1760.5633802816897,2,0.0118350133713803,0.9103767869122359,0.010774321446100545,,,15,parameterized_waveform_residual_z_cancellation,chi_only_na2_chiT5p0_targetC
830,symmetric echo,echoed_fixed_total,gaussian,352.112676056338,2,0.0106267338419783,0.9813958904975115,0.010429032921928337,,,14,multitone_sqr_arbitrary_fock_conditional_rotations,chi_only_na2_chiT1p0_familyD_seed316161
831,CPSQR echo,echoed cpsqr,rich envelope,352.112676056338,3,0.0102586877409396,0.9772175215572,0.010024969408630227,1.6694599576503073,2.862248281558116,21,native_rich_multitone_sqr_cpsqr_feasibility,chi_plus_chiprime_smooth_x_na3_chiT1p0
832,single pulse,single_pulse,gaussian,1056.3380281690138,4,0.010152923472797,0.9452195710415633,0.009596741969775,,,12,multitone_sqr_arbitrary_fock_conditional_rotations,chi_plus_chiprime_na4_chiT3p0_familyD_seed318260
833,symmetric echo,echoed_fixed_total,gaussian,352.112676056338,2,0.0096507714874434,0.9813958904975115,0.00947122747790751,,,14,multitone_sqr_arbitrary_fock_conditional_rotations,chi_only_na2_chiT1p0_familyD_seed316160
834,single pulse,single_pulse,gaussian,1760.5633802816897,3,0.0103886502474842,0.9103767869122359,0.00945758603265967,,,9,multitone_sqr_arbitrary_fock_conditional_rotations,chi_plus_chiprime_na3_chiT5p0_familyD_seed317259
835,symmetric echo,echoed_fixed_total,gaussian,352.112676056338,4,0.009606561222476,0.9813958904975115,0.009427839705550698,,,26,multitone_sqr_arbitrary_fock_conditional_rotations,chi_plus_chiprime_na4_chiT1p0_familyD_seed318261
836,single pulse,single_pulse,gaussian,1056.3380281690138,3,0.0098686941022441,0.9452195710415633,0.009328082806063573,,,9,multitone_sqr_arbitrary_fock_conditional_rotations,chi_plus_chiprime_na3_chiT3p0_familyD_seed317259
837,symmetric echo,echoed_fixed_total,gaussian,1056.3380281690138,2,0.0096978381096384,0.9452195710415633,0.009166586378022933,,,14,multitone_sqr_arbitrary_fock_conditional_rotations,chi_only_na2_chiT3p0_familyD_seed316160
838,echoed,echoed multitone,gaussian,1760.5633802816897,4,0.0099737381390669,0.9103767869122359,0.009079859680547748,,,27,parameterized_waveform_residual_z_cancellation,chi_plus_chiprime_na4_chiT5p0_targetC
839,single pulse,single_pulse,gaussian,1056.3380281690138,4,0.0096030649209833,0.9452195710415633,0.009077004905296119,,,12,multitone_sqr_arbitrary_fock_conditional_rotations,chi_plus_chiprime_na4_chiT3p0_familyD_seed318262
