case_id,model_variant,include_chi_prime,family,seed,n_active,chi_t_over_2pi,duration_s,duration_ns,construction,restricted_process_fidelity,restricted_average_gate_fidelity,restricted_fro_error,per_block_process_fidelities,per_block_average_gate_fidelities,per_block_rotation_angle_errors_rad,per_block_rotation_axis_errors_rad,per_block_residual_z_error_rad,per_block_transverse_error_rad,per_block_actual_rotvec_z_rad,mean_block_average_gate_fidelity,worst_block_average_gate_fidelity,mean_residual_z_error_rad,max_residual_z_error_rad,mean_transverse_error_rad,max_transverse_error_rad,best_fit_restricted_process_fidelity,uncorrected_restricted_process_fidelity,same_block_population_mean,same_block_population_min,other_target_population_mean,other_target_population_max,leakage_outside_target_mean,leakage_outside_target_max,weighted_loss,best_fit_block_phase_rms_rad,optimization_success,optimization_message,n_optimizer_history,corrections_vector,source_case,reduced_vs_full_restricted_process_fidelity,reduced_vs_full_restricted_average_gate_fidelity,magnus_vs_full_restricted_process_fidelity,magnus_vs_full_restricted_average_gate_fidelity,echo_half_duration_ns,echo_total_duration_ns,echo_pi_duration_ns
chi_only_aligned_x_na3_chiT5p0,chi_only,False,aligned_x,,3,5.0,1.7605633802816898e-06,1760.5633802816897,full_shared_line,0.5385443965973562,0.6044666256548767,0.7296409822792226,"[0.8230574619729097, 0.5683247114150662, 0.29223014831312166]","[0.8820383079819397, 0.7122164742767109, 0.5281534322087478]","[0.8631861285171388, 1.4273927594079623, 1.9700077517193666]","[0.8056913663401198, 0.8682718446558828, 1.2830155311987028]","[0.011126291330246642, 0.010990840126161562, 0.024634889935537085]","[0.8682502515679311, 1.4336803535418299, 1.9991831407269545]","[-0.011872291703487593, 0.01353873217212197, 0.03894112640032854]",0.7074694048224662,0.5281534322087478,0.015584007130648428,0.024634889935537085,1.433704581945572,1.9991831407269545,0.5386001292248416,0.5385443965973562,1.0000038936454019,1.000003840837791,0.0,0.0,0.0,0.0,0.5492044126072451,0.016547508529859464,True,Optimization terminated successfully.,188.0,"[0.7496536775576004, 0.7493203442193228, 0.7482206380655366, -0.6076994328652773, -0.6143467471738259, -0.652038713470234]",,,,,,,,
chi_only_aligned_x_na3_chiT5p0,chi_only,False,aligned_x,,3,5.0,1.7605633802816898e-06,1760.5633802816897,blockwise_exact_reduced,0.5385470655437533,0.6044689133232171,0.7296419843701952,"[0.8230676575300673, 0.5683264030936427, 0.29222876043079893]","[0.8820451050200449, 0.7122176020624286, 0.528152506953866]","[0.8631947410888097, 1.4273941178441347, 1.97000780545256]","[0.8052839115138676, 0.868359247695556, 1.2830550188798737]","[0.011115312696629338, 0.010992002222852054, 0.024632692357837296]","[0.8682513845832376, 1.4336824054219832, 1.9991847256895767]","[-0.011861449803555501, 0.01353871196017023, 0.03894152008546732]",0.7074717380121132,0.528152506953866,0.015580002425772893,0.024632692357837296,1.433706171898266,1.9991847256895767,,,,,,,,,,,,,,,chi_only_aligned_x_na3_chiT5p0,1.0,1.0,,,,,
chi_only_aligned_x_na3_chiT5p0,chi_only,False,aligned_x,,3,5.0,1.7605633802816898e-06,1760.5633802816897,magnus_effective,0.07100314371158617,0.20371698032421673,1.2112273519914742,"[0.08663105801466257, 0.07172708400793917, 0.05628366348727675]","[0.391087372009775, 0.3811513893386261, 0.3708557756581845]","[2.1464170693003264, 1.0364207927650173, 0.09987435115956389]","[2.524087302150776, 2.5263366289162397, 2.486201056610379]","[0.9229856012011515, 1.0408866476212852, 1.0578153722720387]","[2.370747540814451, 2.3818266518290865, 2.443389814571958]","[-0.3540467855429297, -0.0888950203538144, 0.13677531445592694]",0.3810315123355285,0.3708557756581845,1.0072292070314919,1.0578153722720387,2.398654669071832,2.443389814571958,,,,,,,,,,,,,,,chi_only_aligned_x_na3_chiT5p0,,,0.09982240982913286,0.22841920842497102,,,
chi_only_aligned_x_na3_chiT5p0,chi_only,False,aligned_x,,3,5.0,1.7605633802816898e-06,1760.5633802816897,decoupled_block,1.0,1.0,1.433291761649753e-16,"[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]","[0.0, 0.0, 4.440892098500626e-16]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 5.551115123125783e-16]","[0.0, 0.0, 0.0]",1.0,1.0,0.0,0.0,1.8503717077085943e-16,5.551115123125783e-16,,,1.0,,,,0.0,,,,,,,,,,,,,,,
chi_only_aligned_x_na4_chiT1p0,chi_only,False,aligned_x,,4,1.0,3.52112676056338e-07,352.112676056338,full_shared_line,0.3860200520762605,0.4542400462900093,0.8704039438573579,"[0.8218965823619219, 0.5682736625366791, 0.2924157487287819, 0.0808864273535832]","[0.8812643882412813, 0.7121824416911194, 0.5282771658191879, 0.38725761823572213]","[0.7863329873836993, 1.383394071465413, 1.9796415809127106, 2.5643395024722335]","[1.4324022228428348, 1.3694039231365922, 1.1792621103547718, 0.28726825230277075]","[0.08714938976100864, 0.05020174797209164, 0.018181587338496365, 0.0025964367725518005]","[0.8669974859628927, 1.4329501661575736, 1.9988462655283676, 2.564821175121819]","[-0.0923995453375768, -0.06048278808247982, -0.028633430037609865, 0.003144405810567412]",0.6272454034968277,0.38725761823572213,0.039532290461037116,0.08714938976100864,1.7159037731926632,2.564821175121819,0.3861331724545466,0.3860200520762605,1.000007163252381,1.0000070165080395,0.0,0.0,0.0,0.0,0.7256884407604235,0.03150266475177992,True,Optimization terminated successfully.,254.0,"[0.7492336271870744, 0.7489002938462139, 0.7495669605277133, 0.7489002938462139, 1.027937749493524, 0.9790806440686695, 0.9459853656795075, 0.9453727859960477]",,,,,,,,
chi_only_aligned_x_na4_chiT1p0,chi_only,False,aligned_x,,4,1.0,3.52112676056338e-07,352.112676056338,blockwise_exact_reduced,0.3860225146179954,0.45424223521599594,0.870405037076183,"[0.8219127117413193, 0.568274753979101, 0.2924147183742151, 0.08088600808253353]","[0.8812751411608796, 0.7121831693194007, 0.5282764789161435, 0.38725733872168905]","[0.7863365969140325, 1.3833946631925458, 1.979642463223738, 2.564341037262019]","[1.4323682091971057, 1.369434649284508, 1.1793614180813878, 0.2873049101441099]","[0.08714534092485995, 0.0502009074332387, 0.018181943226285982, 0.002597404063962498]","[0.8669948483480382, 1.4329521653964281, 1.998849445655334, 2.5648227682311204]","[-0.09239554602022942, -0.060482603497887595, -0.02863378846131436, 0.003144085323143025]",0.6272480320295282,0.38725733872168905,0.03953139891208678,0.08714534092485995,1.71590480690773,2.5648227682311204,,,,,,,,,,,,,,,chi_only_aligned_x_na4_chiT1p0,1.0,1.0,,,,,
chi_only_aligned_x_na4_chiT1p0,chi_only,False,aligned_x,,4,1.0,3.52112676056338e-07,352.112676056338,magnus_effective,0.005643722167212278,0.11612775303752204,1.4663728794293212,"[0.07398041443249212, 0.0039209624221247415, 0.00799061107018464, 0.003055664300593461]","[0.38265360962166145, 0.33594730828141645, 0.3386604073801231, 0.3353704428670623]","[1.2852835280411306, 0.6967845419023893, 0.10848941890471298, 1.7609915350342706]","[1.9884263339672084, 2.107765392726913, 2.1930412899768994, 2.1266967784305817]","[0.651742803573831, 0.5418813776858681, 1.5428535938612387, 0.9897218454366588]","[2.507344283632194, 2.9672011070495508, 2.529119041887758, 2.8648370477629066]","[-1.3407635433023335, -0.8539915824506081, -0.16038728650931858, 0.35295702711783494]",0.34815794203756584,0.3353704428670623,0.9315499051393992,1.5428535938612387,2.717125370083102,2.9672011070495508,,,,,,,,,,,,,,,chi_only_aligned_x_na4_chiT1p0,,,0.38234440856801966,0.4509728076160175,,,
chi_only_aligned_x_na4_chiT1p0,chi_only,False,aligned_x,,4,1.0,3.52112676056338e-07,352.112676056338,decoupled_block,1.0,1.0,0.0,"[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1.0,1.0,0.0,0.0,0.0,0.0,,,1.0,,,,0.0,,,,,,,,,,,,,,,
chi_only_aligned_x_na4_chiT3p0,chi_only,False,aligned_x,,4,3.0,1.0563380281690138e-06,1056.3380281690138,full_shared_line,0.39032993593557463,0.45807105416495525,0.866393323992146,"[0.8264161361371606, 0.5728075481961955, 0.2964428257964161, 0.08349788382505569]","[0.8842774240914405, 0.7152050321307971, 0.5309618838642775, 0.3889985892167038]","[0.8561410533447287, 1.418149197251794, 1.9592721097786385, 2.4968817483227044]","[0.5335925930810851, 0.7047658912688696, 1.151984956825682, 1.2996051935653672]","[0.011121930195027732, 0.014318933387906626, 0.029814824131530124, 0.028358072531317197]","[0.8594143406794134, 1.4245936263708898, 1.9898676898334022, 2.5551556768128227]","[-0.011955016734840672, 0.017481316010757305, 0.04690940359260878, 0.07632876826408296]",0.6298607323258048,0.3889985892167038,0.02090344006144542,0.029814824131530124,1.707257833424132,2.5551556768128227,0.3904189241168216,0.39032993593557463,1.0000033913764979,1.0000033101559045,0.0,0.0,0.0,0.0,0.720694996409357,0.027741162023063745,True,Optimization terminated successfully.,407.0,"[-0.7496537644470134, -0.749653700156187, -0.7496536775547045, 0.7497900335738469, 1.1288304345954518, 1.1275346848122578, 1.133359816986517, -2.0583822208966858]",,,,,,,,
chi_only_aligned_x_na4_chiT3p0,chi_only,False,aligned_x,,4,3.0,1.0563380281690138e-06,1056.3380281690138,blockwise_exact_reduced,0.3903338055801834,0.4580744938490519,0.8663938014586275,"[0.8264354610007196, 0.5728085616655595, 0.29644274016476296, 0.08349856641193018]","[0.8842903073338131, 0.7152057077770397, 0.5309618267765086, 0.3889990442746201]","[0.8561493914373638, 1.4181518350999809, 1.9592716073362781, 2.496880740573987]","[0.533318853743615, 0.7048553098388839, 1.151980252399308, 1.2995724919236646]","[0.011113969901532112, 0.014320890299611607, 0.02981545057922481, 0.02835749609355028]","[0.8594182247835176, 1.4245971804525588, 1.9898672609079437, 2.555152920955082]","[-0.011945254560310679, 0.01748143889443623, 0.04690976436963378, 0.07632904483152617]",0.6298642215404954,0.3889990442746201,0.0209019517184797,0.02981545057922481,1.7072588967747757,2.555152920955082,,,,,,,,,,,,,,,chi_only_aligned_x_na4_chiT3p0,1.0,1.0,,,,,
