mode,criterion,n,amplitude_scale,detuning_MHz,target_probability,leakage_probability
storage,selective,2,1.0250000000000001,-0.75,0.8828077632488048,1.3877787807814457e-16
storage,selective,2,1.0250000000000001,-0.5,0.938800613054914,0.0
storage,selective,2,1.0250000000000001,-0.25,0.9738245331650006,0.0
storage,selective,2,1.0250000000000001,0.0,0.9857523184394638,3.400058012914542e-16
storage,selective,2,1.0250000000000001,0.25,0.9738055669874223,5.169475958410885e-16
storage,selective,2,1.0250000000000001,0.5,0.9387199043077321,0.0
storage,selective,2,1.0250000000000001,0.75,0.8827121236536571,2.220446049250313e-16
storage,selective,2,1.0250000000000001,1.0,0.8091992121069939,1.3877787807814457e-16
storage,selective,2,1.0250000000000001,1.25,0.7225371894529811,2.220446049250313e-16
storage,selective,2,1.0250000000000001,1.5,0.6276303503510201,0.0
storage,selective,2,1.05,-1.5,0.6172404541307135,5.551115123125783e-17
storage,selective,2,1.05,-1.25,0.7117778360784482,0.0
storage,selective,2,1.05,-1.0,0.798183010684169,2.220446049250313e-16
storage,selective,2,1.05,-0.75,0.8715259419578887,1.3877787807814457e-16
storage,selective,2,1.05,-0.5,0.9274178759593203,0.0
storage,selective,2,1.05,-0.25,0.9624551922296304,1.3877787807814457e-17
storage,selective,2,1.05,0.0,0.9743365888135016,0.0
storage,selective,2,1.05,0.25,0.9624066131914292,3.122502256758253e-16
storage,selective,2,1.05,0.5,0.9273572418227335,8.326672684688674e-17
storage,selective,2,1.05,0.75,0.8714306928628509,5.551115123125783e-17
storage,selective,2,1.05,1.0,0.7980659554684439,0.0
storage,selective,2,1.05,1.25,0.7116463379060155,0.0
storage,selective,2,1.05,1.5,0.6171020964803202,0.0
storage,selective,2,1.0750000000000002,-1.5,0.6045577062726323,5.551115123125783e-17
storage,selective,2,1.0750000000000002,-1.25,0.698442760969069,0.0
storage,selective,2,1.0750000000000002,-1.0,0.7843453847509224,3.0531133177191805e-16
storage,selective,2,1.0750000000000002,-0.75,0.8573223532016175,4.163336342344337e-16
storage,selective,2,1.0750000000000002,-0.5,0.9129469272606365,0.0
storage,selective,2,1.0750000000000002,-0.25,0.9478308946921635,0.0
storage,selective,2,1.0750000000000002,0.0,0.9597340903246642,2.2898349882893854e-16
storage,selective,2,1.0750000000000002,0.25,0.9478144624581518,2.0816681711721685e-17
storage,selective,2,1.0750000000000002,0.5,0.9129086306863885,0.0
storage,selective,2,1.0750000000000002,0.75,0.8572277846926047,2.220446049250313e-16
storage,selective,2,1.0750000000000002,1.0,0.7842292254910792,2.498001805406602e-16
storage,selective,2,1.0750000000000002,1.25,0.698312378334435,0.0
storage,selective,2,1.0750000000000002,1.5,0.6044207986477826,1.1102230246251565e-16
storage,selective,2,1.1,-1.5,0.589811161381567,1.1102230246251565e-16
storage,selective,2,1.1,-1.25,0.6827570664108612,0.0
storage,selective,2,1.1,-1.0,0.7678991168284957,0.0
