mode,n,family,variant,description,duration_ns,amplitude_scale,expected_pi_amplitude_MHz,amplitude_MHz,carrier_rotating_MHz,target_probability,source_probability,leakage_probability,subspace_population
storage,1,square,square,Constant envelope,16.0,1.5,15.624999999999998,23.437499999999996,-255.6696945244608,0.5255417007859651,0.474458299214035,0.0,1.0
storage,1,square,square,Constant envelope,20.0,0.65,12.5,8.125,-255.6696945244608,0.7189419810375494,0.2810580189624506,5.551115123125783e-17,1.0
storage,1,square,square,Constant envelope,20.0,0.8,12.5,10.0,-255.6696945244608,0.8979151869047646,0.10208481309523568,0.0,1.0000000000000002
storage,1,square,square,Constant envelope,20.0,0.95,12.5,11.875,-255.6696945244608,0.9916106696483822,0.008389330351617971,0.0,1.0000000000000002
storage,1,square,square,Constant envelope,20.0,1.05,12.5,13.125,-255.6696945244608,0.9959014597561773,0.004098540243822717,6.938893903907228e-18,1.0
storage,1,square,square,Constant envelope,20.0,1.2,12.5,15.0,-255.6696945244608,0.9140393694335026,0.08596063056649741,0.0,1.0
storage,1,square,square,Constant envelope,20.0,1.35,12.5,16.875,-255.6696945244608,0.7434679233606326,0.2565320766393672,1.6653345369377348e-16,0.9999999999999998
storage,1,square,square,Constant envelope,20.0,1.5,12.5,18.75,-255.6696945244608,0.5207538861603773,0.4792461138396225,1.6653345369377348e-16,0.9999999999999998
storage,1,square,square,Constant envelope,24.0,0.65,10.416666666666666,6.770833333333333,-255.6696945244608,0.7201893548229166,0.27981064517708365,0.0,1.0000000000000002
storage,1,square,square,Constant envelope,24.0,0.8,10.416666666666666,8.333333333333332,-255.6696945244608,0.8989507253064303,0.10104927469356977,0.0,1.0
storage,1,square,square,Constant envelope,24.0,0.95,10.416666666666666,9.895833333333332,-255.6696945244608,0.99197981282625,0.008020187173750292,0.0,1.0000000000000002
storage,1,square,square,Constant envelope,24.0,1.05,10.416666666666666,10.9375,-255.6696945244608,0.995611682303993,0.004388317696007044,0.0,1.0
storage,1,square,square,Constant envelope,24.0,1.2,10.416666666666666,12.499999999999998,-255.6696945244608,0.9125897402561931,0.08741025974380671,1.8041124150158794e-16,0.9999999999999998
storage,1,square,square,Constant envelope,24.0,1.35,10.416666666666666,14.0625,-255.6696945244608,0.7409635096694865,0.25903649033051307,3.885780586188048e-16,0.9999999999999996
storage,1,square,square,Constant envelope,24.0,1.5,10.416666666666666,15.625,-255.6696945244608,0.5175641492743972,0.48243585072560274,5.551115123125783e-17,1.0
storage,1,square,square,Constant envelope,32.0,0.65,7.812499999999999,5.078125,-255.6696945244608,0.7217519496008328,0.2782480503991672,0.0,1.0
storage,1,square,square,Constant envelope,32.0,0.8,7.812499999999999,6.25,-255.6696945244608,0.9002310856737912,0.0997689143262088,2.7755575615628914e-17,1.0
storage,1,square,square,Constant envelope,32.0,0.95,7.812499999999999,7.421874999999999,-255.6696945244608,0.9924247866459025,0.007575213354097482,1.6479873021779667e-17,1.0
storage,1,square,square,Constant envelope,32.0,1.05,7.812499999999999,8.203124999999998,-255.6696945244608,0.9952352585630299,0.0047647414369699215,2.220446049250313e-16,0.9999999999999998
storage,1,square,square,Constant envelope,32.0,1.2,7.812499999999999,9.374999999999998,-255.6696945244608,0.9107859151763323,0.08921408482366742,2.3592239273284576e-16,0.9999999999999998
storage,1,square,square,Constant envelope,32.0,1.35,7.812499999999999,10.546875,-255.6696945244608,0.7378058717691051,0.26219412823089505,0.0,1.0
storage,1,square,square,Constant envelope,32.0,1.5,7.812499999999999,11.718749999999998,-255.6696945244608,0.5135489585004661,0.4864510414995341,0.0,1.0000000000000002
storage,1,square,square,Constant envelope,40.0,0.65,6.25,4.0625,-255.6696945244608,0.7226841459604364,0.27731585403956355,5.551115123125783e-17,1.0
storage,1,square,square,Constant envelope,40.0,0.8,6.25,5.0,-255.6696945244608,0.9009790154209196,0.09902098457908025,1.249000902703301e-16,0.9999999999999999
storage,1,square,square,Constant envelope,40.0,0.95,6.25,5.9375,-255.6696945244608,0.992695309895808,0.007304690104191953,3.8163916471489756e-17,1.0
storage,1,square,square,Constant envelope,40.0,1.05,6.25,6.5625,-255.6696945244608,0.9950049281851129,0.0049950718148873965,0.0,1.0000000000000002
storage,1,square,square,Constant envelope,40.0,1.2,6.25,7.5,-255.6696945244608,0.9096955465561459,0.09030445344385402,5.551115123125783e-17,1.0
storage,1,square,square,Constant envelope,40.0,1.35,6.25,8.4375,-255.6696945244608,0.7358789518814416,0.26412104811855835,5.551115123125783e-17,1.0
storage,1,square,square,Constant envelope,40.0,1.5,6.25,9.375,-255.6696945244608,0.511162220858119,0.48883777914188087,1.1102230246251565e-16,0.9999999999999999
storage,1,square,square,Constant envelope,60.0,0.65,4.166666666666666,2.708333333333333,-255.6696945244608,0.723946027483647,0.27605397251635305,0.0,1.0
storage,1,square,square,Constant envelope,60.0,0.8,4.166666666666666,3.333333333333333,-255.6696945244608,0.9020136497134636,0.09798635028653638,0.0,1.0
storage,1,square,square,Constant envelope,60.0,0.95,4.166666666666666,3.9583333333333326,-255.6696945244608,0.9930298549010323,0.006970145098967691,0.0,1.0
storage,1,square,square,Constant envelope,60.0,1.05,4.166666666666666,4.374999999999999,-255.6696945244608,0.9946814796789613,0.00531852032103914,0.0,1.0000000000000004
storage,1,square,square,Constant envelope,60.0,1.2,4.166666666666666,4.999999999999999,-255.6696945244608,0.908223948568605,0.09177605143139493,6.938893903907228e-17,0.9999999999999999
storage,1,square,square,Constant envelope,60.0,1.35,4.166666666666666,5.624999999999999,-255.6696945244608,0.7332986074786795,0.26670139252132075,0.0,1.0000000000000002
storage,1,square,square,Constant envelope,60.0,1.5,4.166666666666666,6.249999999999999,-255.6696945244608,0.5079357021463242,0.492064297853676,0.0,1.0000000000000002
storage,1,square,square,Constant envelope,80.0,0.65,3.125,2.03125,-255.6696945244608,0.7245871728331336,0.2754128271668663,1.1102230246251565e-16,0.9999999999999999
storage,1,square,square,Constant envelope,80.0,0.8,3.125,2.5,-255.6696945244608,0.9025343742464921,0.09746562575350821,0.0,1.0000000000000002
storage,1,square,square,Constant envelope,80.0,0.95,3.125,2.96875,-255.6696945244608,0.9932027691296446,0.006797230870355095,3.469446951953614e-16,0.9999999999999997
storage,1,square,square,Constant envelope,80.0,1.05,3.125,3.28125,-255.6696945244608,0.9945173724311848,0.005482627568814968,2.671474153004283e-16,0.9999999999999998
storage,1,square,square,Constant envelope,80.0,1.2,3.125,3.75,-255.6696945244608,0.9074719086962963,0.09252809130370374,0.0,1.0
storage,1,square,square,Constant envelope,80.0,1.35,3.125,4.21875,-255.6696945244608,0.7320009884707412,0.2679990115292587,5.551115123125783e-17,1.0
storage,1,square,square,Constant envelope,80.0,1.5,3.125,4.6875,-255.6696945244608,0.5063815106227967,0.4936184893772035,0.0,1.0000000000000002
storage,1,square,square,Constant envelope,120.0,0.65,2.083333333333333,1.3541666666666665,-255.6696945244608,0.7252406258415591,0.2747593741584409,0.0,1.0
storage,1,square,square,Constant envelope,120.0,0.8,2.083333333333333,1.6666666666666665,-255.6696945244608,0.9030610834180305,0.0969389165819694,1.1102230246251565e-16,0.9999999999999999
storage,1,square,square,Constant envelope,120.0,0.95,2.083333333333333,1.9791666666666663,-255.6696945244608,0.9933740380475115,0.006625961952488558,0.0,1.0
storage,1,square,square,Constant envelope,120.0,1.05,2.083333333333333,2.1874999999999996,-255.6696945244608,0.994345874691788,0.005654125308212017,0.0,1.0
storage,1,square,square,Constant envelope,120.0,1.2,2.083333333333333,2.4999999999999996,-255.6696945244608,0.9067104547782072,0.0932895452217928,0.0,1.0
storage,1,square,square,Constant envelope,120.0,1.35,2.083333333333333,2.8124999999999996,-255.6696945244608,0.7307850432589257,0.26921495674107454,0.0,1.0000000000000002
storage,1,square,square,Constant envelope,120.0,1.5,2.083333333333333,3.1249999999999996,-255.6696945244608,0.5047438096650102,0.4952561903349895,2.7755575615628914e-16,0.9999999999999998
storage,1,square,square,Constant envelope,160.0,0.65,1.5625,1.015625,-255.6696945244608,0.7257676749930267,0.27423232500697287,3.885780586188048e-16,0.9999999999999996
storage,1,square,square,Constant envelope,160.0,0.8,1.5625,1.25,-255.6696945244608,0.9033357601592172,0.09666423984078283,0.0,1.0
storage,1,square,square,Constant envelope,160.0,0.95,1.5625,1.484375,-255.6696945244608,0.9934622913563251,0.006537708643674675,1.9168694409543718e-16,0.9999999999999998
storage,1,square,square,Constant envelope,160.0,1.05,1.5625,1.640625,-255.6696945244608,0.9942569100407835,0.005743089959216463,0.0,1.0
storage,1,square,square,Constant envelope,160.0,1.2,1.5625,1.875,-255.6696945244608,0.9063248999068604,0.0936751000931396,1.3877787807814457e-17,1.0
storage,1,square,square,Constant envelope,160.0,1.35,1.5625,2.109375,-255.6696945244608,0.7301105457804874,0.2698894542195127,0.0,1.0
storage,1,square,square,Constant envelope,160.0,1.5,1.5625,2.34375,-255.6696945244608,0.5039215436321365,0.4960784563678634,1.1102230246251565e-16,0.9999999999999999
storage,1,square,square,Constant envelope,220.0,0.65,1.1363636363636362,0.7386363636363635,-255.6696945244608,0.7257564364290245,0.2742435635709757,0.0,1.0000000000000002
storage,1,square,square,Constant envelope,220.0,0.8,1.1363636363636362,0.9090909090909091,-255.6696945244608,0.9035095614141027,0.09649043858589768,0.0,1.0000000000000004
storage,1,square,square,Constant envelope,220.0,0.95,1.1363636363636362,1.0795454545454544,-255.6696945244608,0.9936003916234961,0.006399608376503857,2.7755575615628914e-17,1.0
storage,1,square,square,Constant envelope,220.0,1.05,1.1363636363636362,1.1931818181818181,-255.6696945244608,0.9941798693798053,0.005820130620194834,0.0,1.0000000000000002
storage,1,square,square,Constant envelope,220.0,1.2,1.1363636363636362,1.3636363636363635,-255.6696945244608,0.9059964165089712,0.09400358349102887,0.0,1.0
storage,1,square,square,Constant envelope,220.0,1.35,1.1363636363636362,1.534090909090909,-255.6696945244608,0.7295618864706205,0.2704381135293798,0.0,1.0000000000000002
storage,1,square,square,Constant envelope,220.0,1.5,1.1363636363636362,1.7045454545454544,-255.6696945244608,0.5032510188718528,0.496748981128147,2.220446049250313e-16,0.9999999999999998
storage,1,square,square,Constant envelope,300.0,0.65,0.8333333333333333,0.5416666666666666,-255.6696945244608,0.7259478387415959,0.2740521612584042,0.0,1.0
storage,1,square,square,Constant envelope,300.0,0.8,0.8333333333333333,0.6666666666666666,-255.6696945244608,0.9039461504617398,0.09605384953825997,2.636779683484747e-16,0.9999999999999998
storage,1,square,square,Constant envelope,300.0,0.95,0.8333333333333333,0.7916666666666665,-255.6696945244608,0.9935716315829225,0.0064283684170773694,1.3183898417423734e-16,0.9999999999999999
storage,1,square,square,Constant envelope,300.0,1.05,0.8333333333333333,0.875,-255.6696945244608,0.9941437060636844,0.0058562939363157734,0.0,1.0000000000000002
storage,1,square,square,Constant envelope,300.0,1.2,0.8333333333333333,0.9999999999999999,-255.6696945244608,0.9055043098112977,0.09449569018870257,0.0,1.0000000000000002
storage,1,square,square,Constant envelope,300.0,1.35,0.8333333333333333,1.125,-255.6696945244608,0.7291576487109412,0.2708423512890587,5.551115123125783e-17,1.0
storage,1,square,square,Constant envelope,300.0,1.5,0.8333333333333333,1.25,-255.6696945244608,0.5027614983618338,0.4972385016381664,0.0,1.0000000000000002
storage,1,gaussian,sigma_0p12,Narrow Gaussian,12.0,0.65,20.833333333333332,13.541666666666666,-255.6696945244608,0.7263633647847941,0.27363663521520576,1.1102230246251565e-16,0.9999999999999999
storage,1,gaussian,sigma_0p12,Narrow Gaussian,12.0,0.8,20.833333333333332,16.666666666666664,-255.6696945244608,0.9039938300160377,0.09600616998396261,0.0,1.0000000000000004
storage,1,gaussian,sigma_0p12,Narrow Gaussian,12.0,0.95,20.833333333333332,19.791666666666664,-255.6696945244608,0.9936789193127683,0.006321080687231559,1.3617579286417936e-16,0.9999999999999999
