mode,criterion,n,amplitude_scale,detuning_MHz,target_probability,leakage_probability
storage,unselective,1,1.0750000000000002,0.25,0.9644006712059929,0.0
storage,unselective,1,1.0750000000000002,0.5,0.9642798030450974,0.0
storage,unselective,1,1.0750000000000002,0.75,0.96408670303565,9.71445146547012e-17
storage,unselective,1,1.0750000000000002,1.0,0.9638202715178513,0.0
storage,unselective,1,1.0750000000000002,1.25,0.9634817865990144,6.938893903907228e-18
storage,unselective,1,1.0750000000000002,1.5,0.9630696108525374,0.0
storage,unselective,1,1.1,-1.5,0.9465004770986885,3.8163916471489756e-16
storage,unselective,1,1.1,-1.25,0.9468886754234631,7.632783294297951e-17
storage,unselective,1,1.1,-1.0,0.9472056610944498,0.0
storage,unselective,1,1.1,-0.75,0.9474492433953946,1.1796119636642288e-16
storage,unselective,1,1.1,-0.5,0.9476219120799622,0.0
storage,unselective,1,1.1,-0.25,0.9477198935473629,0.0
storage,unselective,1,1.1,0.0,0.9477438641077119,0.0
storage,unselective,1,1.1,0.25,0.947697417993477,5.551115123125783e-17
storage,unselective,1,1.1,0.5,0.9475767215976456,0.0
storage,unselective,1,1.1,0.75,0.9473837916636674,0.0
storage,unselective,1,1.1,1.0,0.9471174224878163,0.0
storage,unselective,1,1.1,1.25,0.9467833930395769,3.7470027081099033e-16
storage,unselective,1,1.1,1.5,0.9463708607746061,1.5959455978986625e-16
