n,mechanism,target_coupling_MHz,common_detuning_MHz,storage_leg_lab_frequency_GHz,readout_leg_lab_frequency_GHz,storage_leg_rotating_frequency_MHz,readout_leg_rotating_frequency_MHz,storage_matrix_element,readout_matrix_element,storage_amplitude_MHz,readout_amplitude_MHz,simulation_duration_ns,peak_target_probability,time_to_peak_target_ns,max_intermediate_probability,intermediate_at_target_peak,leakage_at_target_peak,final_target_probability,reduced_peak_target_probability,reduced_peak_time_ns,reduced_max_intermediate_probability,resonant_peak_time_ns,raman_peak_time_ns,peak_target_error_vs_reduced,peak_time_error_vs_reduced_ns,dominant_peak_states,dominant_final_states,source_label,intermediate_label,target_label
1,detuned_raman_like,10.0,8.0,6.804115034441636,3.4488252783628397,-255.6696945244608,-255.6696945244608,1.0,1.0,10.0,10.0,120.00000000000001,0.8279127658325991,34.0,0.46287745097720506,5.332903762346002e-06,0.0,0.31961144078705755,0.8280953214227599,34.0,0.4629625404333022,35.35533905932738,19.999999999999996,-0.00018255559016078227,0.0,"[[""|g,1,0>"", 0.8279127658325991], [""|g,0,1>"", 0.17208190126363848], [""|f,0,0>"", 5.332903762346002e-06]]","[[""|f,0,0>"", 0.4602427244032411], [""|g,1,0>"", 0.31961144078705755], [""|g,0,1>"", 0.22014583480970124]]","|g,0,1>","|f,0,0>","|g,1,0>"
1,detuned_raman_like,10.0,12.0,6.804115034441636,3.4488252783628397,-255.6696945244608,-255.6696945244608,1.0,1.0,10.0,10.0,120.00000000000001,0.8867008305270685,65.0,0.42358502866370545,5.903690619278876e-05,2.220446049250313e-16,0.2385253240312823,0.8863578809819612,65.0,0.42370049008437644,35.35533905932738,29.999999999999996,0.00034294954510727393,0.0,"[[""|g,1,0>"", 0.8867008305270685], [""|g,0,1>"", 0.11324013256673852], [""|f,0,0>"", 5.903690619278876e-05]]","[[""|g,0,1>"", 0.4604146603085327], [""|f,0,0>"", 0.3010600156601848], [""|g,1,0>"", 0.2385253240312823]]","|g,0,1>","|f,0,0>","|g,1,0>"
1,detuned_raman_like,10.0,16.0,6.804115034441636,3.4488252783628397,-255.6696945244608,-255.6696945244608,1.0,1.0,10.0,10.0,120.00000000000001,0.9994356940587006,61.5,0.37860100912274586,1.7853854589645306e-05,3.3306690738754696e-16,0.002292024715001533,0.9994166681099966,61.5,0.3787697217700622,35.35533905932738,39.99999999999999,1.9025948703954576e-05,0.0,"[[""|g,1,0>"", 0.9994356940587006], [""|g,0,1>"", 0.0005464520867094405], [""|f,0,0>"", 1.7853854589645306e-05]]","[[""|g,0,1>"", 0.9564102725064991], [""|f,0,0>"", 0.04129770277849921], [""|g,1,0>"", 0.002292024715001533]]","|g,0,1>","|f,0,0>","|g,1,0>"
1,detuned_raman_like,10.0,20.0,6.804115034441636,3.4488252783628397,-255.6696945244608,-255.6696945244608,1.0,1.0,10.0,10.0,120.00000000000001,0.9416029827860318,58.0,0.3331553299742366,0.0002441194970963827,1.1102230246251565e-16,0.1991144005835059,0.9418968195239075,57.50000000000001,0.3333281321575764,35.35533905932738,50.0,-0.00029383673787564124,0.4999999999999929,"[[""|g,1,0>"", 0.9416029827860318], [""|g,0,1>"", 0.05815289771687173], [""|f,0,0>"", 0.0002441194970963827]]","[[""|g,0,1>"", 0.732544488509366], [""|g,1,0>"", 0.1991144005835059], [""|f,0,0>"", 0.06834111090712804]]","|g,0,1>","|f,0,0>","|g,1,0>"
1,resonant_bright_state,12.0,0.0,6.804115034441636,3.4488252783628397,-255.6696945244608,-255.6696945244608,1.0,1.0,12.0,12.0,80.0,0.9999976870169066,29.500000000000004,0.49975017772516334,2.3127755120134414e-06,0.0,0.6462419744059636,0.9999921256621527,29.500000000000004,0.4998599640338528,29.462782549439478,,5.56135475393571e-06,0.0,"[[""|g,1,0>"", 0.9999976870169066], [""|f,0,0>"", 2.3127755120134414e-06]]","[[""|g,1,0>"", 0.6462419744059636], [""|f,0,0>"", 0.3152918075512545], [""|g,0,1>"", 0.03846621804278175]]","|g,0,1>","|f,0,0>","|g,1,0>"
1,detuned_raman_like,12.0,4.0,6.804115034441636,3.4488252783628397,-255.6696945244608,-255.6696945244608,1.0,1.0,12.0,12.0,120.00000000000001,0.9662611272538985,29.500000000000004,0.49308342063315697,0.00028516512220882345,0.0,0.431197302745549,0.9662634991368868,29.500000000000004,0.49310566011298534,29.462782549439478,6.944444444444445,-2.371882988350116e-06,0.0,"[[""|g,1,0>"", 0.9662611272538985], [""|g,0,1>"", 0.033453707623892964], [""|f,0,0>"", 0.00028516512220882345]]","[[""|g,0,1>"", 0.5279186871687389], [""|g,1,0>"", 0.431197302745549], [""|f,0,0>"", 0.040884010085711964]]","|g,0,1>","|f,0,0>","|g,1,0>"
1,detuned_raman_like,12.0,8.0,6.804115034441636,3.4488252783628397,-255.6696945244608,-255.6696945244608,1.0,1.0,12.0,12.0,120.00000000000001,0.9832784943612368,115.00000000000001,0.4735962321264002,0.000303159449599841,2.220446049250313e-16,0.8479979558831586,0.9831241680112404,114.50000000000001,0.4736828535119519,29.462782549439478,13.88888888888889,0.00015432634999645867,0.5,"[[""|g,1,0>"", 0.9832784943612368], [""|g,0,1>"", 0.016418346189163137], [""|f,0,0>"", 0.000303159449599841]]","[[""|g,1,0>"", 0.8479979558831586], [""|f,0,0>"", 0.13112528971544968], [""|g,0,1>"", 0.020876754401391934]]","|g,0,1>","|f,0,0>","|g,1,0>"
1,detuned_raman_like,12.0,12.0,6.804115034441636,3.4488252783628397,-255.6696945244608,-255.6696945244608,1.0,1.0,12.0,12.0,120.00000000000001,0.7504220016491004,55.5,0.44431673356397927,3.6561279485853316e-05,0.0,0.5380851413510014,0.7499868512703946,55.5,0.4444268987119598,29.462782549439478,20.833333333333336,0.00043515037870589524,0.0,"[[""|g,1,0>"", 0.7504220016491004], [""|g,0,1>"", 0.24954143707141394], [""|f,0,0>"", 3.6561279485853316e-05]]","[[""|g,1,0>"", 0.5380851413510014], [""|f,0,0>"", 0.30585119836790875], [""|g,0,1>"", 0.15606366028108976]]","|g,0,1>","|f,0,0>","|g,1,0>"
1,detuned_raman_like,12.0,16.0,6.804115034441636,3.4488252783628397,-255.6696945244608,-255.6696945244608,1.0,1.0,12.0,12.0,120.00000000000001,0.9475637652858786,53.5,0.40893493915784423,0.00018364828165345296,2.220446049250313e-16,0.34336051371495113,0.9472693839503968,53.5,0.4090873941196228,29.462782549439478,27.77777777777778,0.0002943813354817637,0.0,"[[""|g,1,0>"", 0.9475637652858786], [""|g,0,1>"", 0.052252586432467815], [""|f,0,0>"", 0.00018364828165345296]]","[[""|f,0,0>"", 0.4076134650857796], [""|g,1,0>"", 0.34336051371495113], [""|g,0,1>"", 0.24902602119926948]]","|g,0,1>","|f,0,0>","|g,1,0>"
1,detuned_raman_like,12.0,20.0,6.804115034441636,3.4488252783628397,-255.6696945244608,-255.6696945244608,1.0,1.0,12.0,12.0,120.00000000000001,0.9991243691277095,51.0,0.3709602126006322,0.00026716322966334553,0.0,0.3044465546388541,0.9991115292517477,51.0,0.3711245273730455,29.462782549439478,34.72222222222223,1.2839875961789815e-05,0.0,"[[""|g,1,0>"", 0.9991243691277095], [""|g,0,1>"", 0.0006084676426272338], [""|f,0,0>"", 0.00026716322966334553]]","[[""|g,0,1>"", 0.4753114082484799], [""|g,1,0>"", 0.3044465546388541], [""|f,0,0>"", 0.22024203711266627]]","|g,0,1>","|f,0,0>","|g,1,0>"
