time_ns,source_probability,intermediate_probability,target_probability,leakage_probability,reduced_target_probability
8.75,0.6363612669606236,0.3227220820325087,0.04091665100686783,0.0,0.04092082258322617
9.000000000000002,0.6192279422227001,0.3353643087189856,0.04540774905831432,2.7755575615628914e-17,0.04541240811282691
9.25,0.6020120527409287,0.3477639603900228,0.050223986869048796,0.0,0.05022916844408857
9.5,0.5847390421259597,0.35988580307645307,0.05537515479758737,0.0,0.05538089442780621
9.750000000000002,0.5674340985497371,0.37169539220362113,0.060870509246641884,0.0,0.06087684280437313
10.0,0.550122100155811,0.38315917045936987,0.0667187293848194,0.0,0.06672569291790913
10.25,0.5328275616355992,0.39424456314119505,0.07292787522320583,0.0,0.07293550478641808
10.500000000000002,0.5155745821094935,0.40492007071224523,0.0795053471782614,0.0,0.07951367865939672
10.75,0.4983867944486612,0.41515535830297956,0.08645784724835891,3.469446951953614e-16,0.08646691619028576
11.000000000000002,0.48128731616877307,0.42492134190434055,0.09379134192688632,5.551115123125783e-17,0.09380118334674864
11.250000000000002,0.4642987020222886,0.43419027100762264,0.10151102697008885,0.0,0.10152167517699989
11.5,0.44744289841094326,0.4429358074563249,0.10962129413273164,1.6653345369377348e-16,0.10963278254529928
11.750000000000002,0.4307411997347581,0.45113310028600323,0.11812569997923868,0.0,0.11813806094428844
12.000000000000002,0.4142142067882471,0.4587588563395288,0.12702693687222402,1.3877787807814457e-16,0.12704020148609182
12.25,0.3978817873085583,0.465791406457145,0.13632680623429658,1.3877787807814457e-16,0.1363410041680525
12.500000000000002,0.3817630387740435,0.472210767053261,0.14602619417269555,0.0,0.14604135350263941
12.75,0.36587625354525033,0.47799869690501434,0.1561250495497351,2.220446049250313e-16,0.15614119659445924
13.0,0.3502388864335789,0.4831387489912152,0.16662236457520602,0.0,0.16663952374046795
13.250000000000002,0.33486752477584925,0.48761631723432564,0.17751615798982495,1.6653345369377348e-16,0.17753435162240086
13.5,0.319777861085841,0.4914186780125928,0.188803460901566,1.3877787807814457e-16,0.18882270915316868
13.75,0.30498466834645793,0.4945350263242852,0.20048030532925679,1.3877787807814457e-16,0.20050062603150132
14.000000000000002,0.2905017779986256,0.4969565065011633,0.21254171550021084,2.220446049250313e-16,0.21256312405149635
14.25,0.2763420606753056,0.4986762373837804,0.22498170194091355,4.996003610813204e-16,0.22500421120596265
14.5,0.2625174097211756,0.4996893318869242,0.23779325839190013,1.1102230246251565e-16,0.2378168786145574
14.750000000000002,0.24903872742474015,0.49999291111273075,0.25096836146252893,2.220446049250313e-16,0.25099310029972677
15.000000000000002,0.23591591432756726,0.4995861123552872,0.2644979733171457,0.0,0.26452383582540245
15.250000000000002,0.2231578613441138,0.49847009126530406,0.2783720473905819,1.6653345369377348e-16,0.27839903580528375
