mode,n,family,variant,description,duration_ns,amplitude_scale,expected_pi_amplitude_MHz,amplitude_MHz,carrier_rotating_MHz,target_probability,source_probability,leakage_probability,subspace_population
readout,1,flat_top_gaussian,ramp_0p35,Long Gaussian ramp,120.0,1.05,2.083333333333333,2.1874999999999996,-255.6696945244608,0.9940225240091818,0.005977475990818217,0.0,1.0
readout,1,flat_top_gaussian,ramp_0p35,Long Gaussian ramp,160.0,1.05,1.5625,1.640625,-255.6696945244608,0.9940200203019961,0.005979979698003681,2.203098814490545e-16,0.9999999999999998
readout,1,flat_top_gaussian,ramp_0p35,Long Gaussian ramp,220.0,1.05,1.1363636363636362,1.1931818181818181,-255.6696945244608,0.9940174054951249,0.005982594504875419,0.0,1.0000000000000002
readout,1,flat_top_gaussian,ramp_0p35,Long Gaussian ramp,300.0,1.05,0.8333333333333333,0.875,-255.6696945244608,0.9940138556119639,0.005986144388036478,0.0,1.0000000000000004
readout,1,smooth_bump,compact_bump,Compact-support smooth ramp,12.0,1.05,20.833333333333332,21.875,-255.6696945244608,0.9940085988643282,0.005991401135671789,0.0,1.0
readout,1,smooth_bump,compact_bump,Compact-support smooth ramp,16.0,1.05,15.624999999999998,16.406249999999996,-255.6696945244608,0.9940151236940875,0.0059848763059124266,6.331740687315346e-17,0.9999999999999999
readout,1,smooth_bump,compact_bump,Compact-support smooth ramp,20.0,1.05,12.5,13.125,-255.6696945244608,0.9940154546531612,0.0059845453468388285,0.0,1.0
readout,1,smooth_bump,compact_bump,Compact-support smooth ramp,24.0,1.05,10.416666666666666,10.9375,-255.6696945244608,0.9940152372812019,0.005984762718798158,0.0,1.0
readout,1,smooth_bump,compact_bump,Compact-support smooth ramp,32.0,1.05,7.812499999999999,8.203124999999998,-255.6696945244608,0.9940159122697199,0.005984087730279863,2.7755575615628914e-16,0.9999999999999998
readout,1,smooth_bump,compact_bump,Compact-support smooth ramp,40.0,1.05,6.25,6.5625,-255.6696945244608,0.9940157290526498,0.005984270947350347,0.0,1.0000000000000002
readout,1,smooth_bump,compact_bump,Compact-support smooth ramp,60.0,1.05,4.166666666666666,4.374999999999999,-255.6696945244608,0.9940146951750154,0.005985304824984565,3.9898639947466563e-17,1.0
readout,1,smooth_bump,compact_bump,Compact-support smooth ramp,80.0,1.05,3.125,3.28125,-255.6696945244608,0.994016153325523,0.005983846674477137,0.0,1.0
readout,1,smooth_bump,compact_bump,Compact-support smooth ramp,120.0,1.05,2.083333333333333,2.1874999999999996,-255.6696945244608,0.9940092995531647,0.005990700446835375,0.0,1.0000000000000002
readout,1,smooth_bump,compact_bump,Compact-support smooth ramp,160.0,1.05,1.5625,1.640625,-255.6696945244608,0.994015371966174,0.005984628033826172,0.0,1.0000000000000002
readout,1,smooth_bump,compact_bump,Compact-support smooth ramp,220.0,1.05,1.1363636363636362,1.1931818181818181,-255.6696945244608,0.9940156051483808,0.005984394851619275,0.0,1.0
readout,1,smooth_bump,compact_bump,Compact-support smooth ramp,300.0,1.05,0.8333333333333333,0.875,-255.6696945244608,0.9940160541192831,0.005983945880717051,0.0,1.0000000000000002
readout,1,blackman,blackman,Blackman window,12.0,1.05,20.833333333333332,21.875,-255.6696945244608,0.9940394925005209,0.005960507499479171,0.0,1.0
readout,1,blackman,blackman,Blackman window,16.0,1.05,15.624999999999998,16.406249999999996,-255.6696945244608,0.9940242905189287,0.005975709481071228,6.158268339717665e-17,0.9999999999999999
readout,1,blackman,blackman,Blackman window,20.0,1.05,12.5,13.125,-255.6696945244608,0.9940196069055162,0.005980393094484125,0.0,1.0000000000000002
readout,1,blackman,blackman,Blackman window,24.0,1.05,10.416666666666666,10.9375,-255.6696945244608,0.9940178202838851,0.005982179716114878,4.336808689942018e-17,1.0
readout,1,blackman,blackman,Blackman window,32.0,1.05,7.812499999999999,8.203124999999998,-255.6696945244608,0.9940171625720988,0.005982837427901401,0.0,1.0000000000000002
readout,1,blackman,blackman,Blackman window,40.0,1.05,6.25,6.5625,-255.6696945244608,0.9940157456991532,0.005984254300846498,3.157196726277789e-16,0.9999999999999997
readout,1,blackman,blackman,Blackman window,60.0,1.05,4.166666666666666,4.374999999999999,-255.6696945244608,0.9940151566504836,0.005984843349516698,0.0,1.0000000000000002
readout,1,blackman,blackman,Blackman window,80.0,1.05,3.125,3.28125,-255.6696945244608,0.9940154987391557,0.005984501260844392,0.0,1.0000000000000002
readout,1,blackman,blackman,Blackman window,120.0,1.05,2.083333333333333,2.1874999999999996,-255.6696945244608,0.9940157048622784,0.005984295137721865,0.0,1.0000000000000002
readout,1,blackman,blackman,Blackman window,160.0,1.05,1.5625,1.640625,-255.6696945244608,0.9940156251008986,0.005984374899101194,2.246466901389965e-16,0.9999999999999998
readout,1,blackman,blackman,Blackman window,220.0,1.05,1.1363636363636362,1.1931818181818181,-255.6696945244608,0.994014906844508,0.0059850931554919105,9.454242944073599e-17,0.9999999999999999
readout,1,blackman,blackman,Blackman window,300.0,1.05,0.8333333333333333,0.875,-255.6696945244608,0.9939942561048531,0.006005743895146773,8.066464163292153e-17,0.9999999999999999
readout,2,square,square,Constant envelope,12.0,1.05,14.731391274719737,15.467960838455726,-261.66969452446074,0.9969550566938922,0.0030449433061082902,0.0,1.0000000000000004
readout,2,square,square,Constant envelope,16.0,1.05,11.048543456039804,11.600970628841793,-261.66969452446074,0.996319850072514,0.003680149927485657,3.413068438984368e-16,0.9999999999999997
readout,2,square,square,Constant envelope,20.0,1.05,8.838834764831843,9.280776503073435,-261.66969452446074,0.9959103666903224,0.004089633309677643,0.0,1.0
readout,2,square,square,Constant envelope,24.0,1.05,7.3656956373598685,7.733980419227863,-261.66969452446074,0.9956227116720243,0.004377288327975762,0.0,1.0
readout,2,square,square,Constant envelope,32.0,1.05,5.524271728019902,5.8004853144208965,-261.66969452446074,0.9952496995717722,0.004750300428227649,1.222980050563649e-16,0.9999999999999999
readout,2,square,square,Constant envelope,40.0,1.05,4.419417382415921,4.640388251536717,-261.66969452446074,0.9950182722327992,0.0049817277672007864,6.331740687315346e-17,0.9999999999999999
readout,2,square,square,Constant envelope,60.0,1.05,2.9462782549439477,3.093592167691145,-261.66969452446074,0.9946954958129473,0.005304504187052811,0.0,1.0
readout,2,square,square,Constant envelope,80.0,1.05,2.2097086912079607,2.3201941257683587,-261.66969452446074,0.9945324631445828,0.00546753685541734,0.0,1.0
readout,2,square,square,Constant envelope,120.0,1.05,1.4731391274719738,1.5467960838455725,-261.66969452446074,0.9943605033464266,0.005639496653573628,0.0,1.0000000000000002
readout,2,square,square,Constant envelope,160.0,1.05,1.1048543456039803,1.1600970628841794,-261.66969452446074,0.9942727382592155,0.005727261740784408,1.205632815803881e-16,0.9999999999999999
readout,2,square,square,Constant envelope,220.0,1.05,0.8035304331665312,0.8437069548248578,-261.66969452446074,0.9941968675325772,0.00580313246742283,0.0,1.0
readout,2,square,square,Constant envelope,300.0,1.05,0.5892556509887895,0.618718433538229,-261.66969452446074,0.994161713722691,0.005838286277308691,2.888314587501384e-16,0.9999999999999997
readout,2,gaussian,sigma_0p24,Wide Gaussian,12.0,1.05,14.731391274719737,15.467960838455726,-261.66969452446074,0.9946790002151896,0.005320999784810421,0.0,1.0
readout,2,gaussian,sigma_0p24,Wide Gaussian,16.0,1.05,11.048543456039804,11.600970628841793,-261.66969452446074,0.9945208615301445,0.0054791384698554095,7.28583859910259e-17,0.9999999999999999
readout,2,gaussian,sigma_0p24,Wide Gaussian,20.0,1.05,8.838834764831843,9.280776503073435,-261.66969452446074,0.9944257496052171,0.0055742503947829435,0.0,1.0
readout,2,gaussian,sigma_0p24,Wide Gaussian,24.0,1.05,7.3656956373598685,7.733980419227863,-261.66969452446074,0.994360793120439,0.0056392068795610316,0.0,1.0
readout,2,gaussian,sigma_0p24,Wide Gaussian,32.0,1.05,5.524271728019902,5.8004853144208965,-261.66969452446074,0.994279532211525,0.005720467788475355,0.0,1.0000000000000004
readout,2,gaussian,sigma_0p24,Wide Gaussian,40.0,1.05,4.419417382415921,4.640388251536717,-261.66969452446074,0.9942300056541643,0.005769994345835907,0.0,1.0000000000000002
readout,2,gaussian,sigma_0p24,Wide Gaussian,60.0,1.05,2.9462782549439477,3.093592167691145,-261.66969452446074,0.9941669075188493,0.005833092481150831,0.0,1.0000000000000002
readout,2,gaussian,sigma_0p24,Wide Gaussian,80.0,1.05,2.2097086912079607,2.3201941257683587,-261.66969452446074,0.994132379752603,0.005867620247396768,1.8648277366750676e-16,0.9999999999999998
readout,2,gaussian,sigma_0p24,Wide Gaussian,120.0,1.05,1.4731391274719738,1.5467960838455725,-261.66969452446074,0.9940991279899573,0.005900872010042612,1.3357370765021415e-16,0.9999999999999999
readout,2,gaussian,sigma_0p24,Wide Gaussian,160.0,1.05,1.1048543456039803,1.1600970628841794,-261.66969452446074,0.994079130597487,0.0059208694025128135,2.0469737016526324e-16,0.9999999999999998
readout,2,gaussian,sigma_0p24,Wide Gaussian,220.0,1.05,0.8035304331665312,0.8437069548248578,-261.66969452446074,0.9940659031711205,0.005934096828879708,0.0,1.0000000000000002
readout,2,gaussian,sigma_0p24,Wide Gaussian,300.0,1.05,0.5892556509887895,0.618718433538229,-261.66969452446074,0.9940537506456125,0.005946249354387329,1.491862189340054e-16,0.9999999999999999
readout,2,cosine,raised_cosine,Single-lobe cosine,12.0,1.05,14.731391274719737,15.467960838455726,-261.66969452446074,0.9939525954552858,0.006047404544714035,1.6132928326584306e-16,0.9999999999999999
readout,2,cosine,raised_cosine,Single-lobe cosine,16.0,1.05,11.048543456039804,11.600970628841793,-261.66969452446074,0.9939895652711666,0.006010434728833395,5.204170427930421e-17,1.0
readout,2,cosine,raised_cosine,Single-lobe cosine,20.0,1.05,8.838834764831843,9.280776503073435,-261.66969452446074,0.9940054277209692,0.005994572279030725,4.9439619065339e-17,1.0
readout,2,cosine,raised_cosine,Single-lobe cosine,24.0,1.05,7.3656956373598685,7.733980419227863,-261.66969452446074,0.9940140495177556,0.005985950482244141,2.3245294578089215e-16,0.9999999999999998
readout,2,cosine,raised_cosine,Single-lobe cosine,32.0,1.05,5.524271728019902,5.8004853144208965,-261.66969452446074,0.9940218354271952,0.005978164572804736,1.9949319973733282e-17,1.0
readout,2,cosine,raised_cosine,Single-lobe cosine,40.0,1.05,4.419417382415921,4.640388251536717,-261.66969452446074,0.9940257173381036,0.005974282661896566,0.0,1.0000000000000002
readout,2,cosine,raised_cosine,Single-lobe cosine,60.0,1.05,2.9462782549439477,3.093592167691145,-261.66969452446074,0.9940305245515538,0.005969475448446246,0.0,1.0
readout,2,cosine,raised_cosine,Single-lobe cosine,80.0,1.05,2.2097086912079607,2.3201941257683587,-261.66969452446074,0.994031376411772,0.005968623588228114,0.0,1.0
readout,2,cosine,raised_cosine,Single-lobe cosine,120.0,1.05,1.4731391274719738,1.5467960838455725,-261.66969452446074,0.994032212880478,0.005967787119521894,5.637851296924623e-17,0.9999999999999999
readout,2,cosine,raised_cosine,Single-lobe cosine,160.0,1.05,1.1048543456039803,1.1600970628841794,-261.66969452446074,0.9940311115328107,0.0059688884671892884,5.984795992119984e-17,0.9999999999999999
readout,2,cosine,raised_cosine,Single-lobe cosine,220.0,1.05,0.8035304331665312,0.8437069548248578,-261.66969452446074,0.9940300224692642,0.005969977530735711,9.280770596475918e-17,0.9999999999999999
readout,2,cosine,raised_cosine,Single-lobe cosine,300.0,1.05,0.5892556509887895,0.618718433538229,-261.66969452446074,0.9940286113474033,0.005971388652596875,0.0,1.0000000000000002
readout,2,flat_top_cosine,ramp_0p25,Reference cosine ramp,12.0,1.05,14.731391274719737,15.467960838455726,-261.66969452446074,0.9940997493588953,0.00590025064110461,5.551115123125783e-17,1.0
readout,2,flat_top_cosine,ramp_0p15,Short cosine ramp,16.0,1.05,11.048543456039804,11.600970628841793,-261.66969452446074,0.9941077117844475,0.0058922882155528775,0.0,1.0000000000000004
readout,2,flat_top_cosine,ramp_0p15,Short cosine ramp,20.0,1.05,8.838834764831843,9.280776503073435,-261.66969452446074,0.9940684559304084,0.005931544069591944,0.0,1.0000000000000002
readout,2,flat_top_cosine,ramp_0p15,Short cosine ramp,24.0,1.05,7.3656956373598685,7.733980419227863,-261.66969452446074,0.9940490195593404,0.00595098044065964,0.0,1.0
readout,2,flat_top_cosine,ramp_0p15,Short cosine ramp,32.0,1.05,5.524271728019902,5.8004853144208965,-261.66969452446074,0.9940460331867643,0.005953966813235291,3.86843335142828e-16,0.9999999999999997
readout,2,flat_top_cosine,ramp_0p15,Short cosine ramp,40.0,1.05,4.419417382415921,4.640388251536717,-261.66969452446074,0.9940390890794978,0.0059609109205021465,6.938893903907228e-17,0.9999999999999999
readout,2,flat_top_cosine,ramp_0p15,Short cosine ramp,60.0,1.05,2.9462782549439477,3.093592167691145,-261.66969452446074,0.9940354222326838,0.00596457776731632,0.0,1.0000000000000002
readout,2,flat_top_cosine,ramp_0p35,Long cosine ramp,80.0,1.05,2.2097086912079607,2.3201941257683587,-261.66969452446074,0.9940338616362404,0.005966138363759532,5.551115123125783e-17,1.0
readout,2,flat_top_cosine,ramp_0p35,Long cosine ramp,120.0,1.05,1.4731391274719738,1.5467960838455725,-261.66969452446074,0.9940335782096854,0.005966421790314461,1.3010426069826053e-16,0.9999999999999999
readout,2,flat_top_cosine,ramp_0p35,Long cosine ramp,160.0,1.05,1.1048543456039803,1.1600970628841794,-261.66969452446074,0.9940322831962721,0.0059677168037278175,5.637851296924623e-17,0.9999999999999999
readout,2,flat_top_cosine,ramp_0p35,Long cosine ramp,220.0,1.05,0.8035304331665312,0.8437069548248578,-261.66969452446074,0.9940316001368881,0.005968399863112211,0.0,1.0000000000000002
readout,2,flat_top_cosine,ramp_0p25,Reference cosine ramp,300.0,1.05,0.5892556509887895,0.618718433538229,-261.66969452446074,0.9940280935843577,0.005971906415642091,1.7867651802561113e-16,0.9999999999999998
readout,2,flat_top_gaussian,ramp_0p15,Short Gaussian ramp,12.0,1.05,14.731391274719737,15.467960838455726,-261.66969452446074,0.9945730802392915,0.005426919760708729,0.0,1.0000000000000002
readout,2,flat_top_gaussian,ramp_0p15,Short Gaussian ramp,16.0,1.05,11.048543456039804,11.600970628841793,-261.66969452446074,0.9942468554463735,0.005753144553626514,6.938893903907228e-18,1.0
readout,2,flat_top_gaussian,ramp_0p15,Short Gaussian ramp,20.0,1.05,8.838834764831843,9.280776503073435,-261.66969452446074,0.9941053660193858,0.0058946339806139735,2.0990154059319366e-16,0.9999999999999998
readout,2,flat_top_gaussian,ramp_0p35,Long Gaussian ramp,24.0,1.05,7.3656956373598685,7.733980419227863,-261.66969452446074,0.994070432186441,0.005929567813559078,0.0,1.0
readout,2,flat_top_gaussian,ramp_0p15,Short Gaussian ramp,32.0,1.05,5.524271728019902,5.8004853144208965,-261.66969452446074,0.994059208696934,0.005940791303065909,1.0842021724855044e-16,0.9999999999999999
readout,2,flat_top_gaussian,ramp_0p35,Long Gaussian ramp,40.0,1.05,4.419417382415921,4.640388251536717,-261.66969452446074,0.994051594434799,0.0059484055652012325,0.0,1.0000000000000002
readout,2,flat_top_gaussian,ramp_0p35,Long Gaussian ramp,60.0,1.05,2.9462782549439477,3.093592167691145,-261.66969452446074,0.9940464145824011,0.00595358541759943,0.0,1.0000000000000004
readout,2,flat_top_gaussian,ramp_0p35,Long Gaussian ramp,80.0,1.05,2.2097086912079607,2.3201941257683587,-261.66969452446074,0.9940417889023053,0.005958211097694918,0.0,1.0000000000000002
readout,2,flat_top_gaussian,ramp_0p35,Long Gaussian ramp,120.0,1.05,1.4731391274719738,1.5467960838455725,-261.66969452446074,0.9940396140378797,0.005960385962120031,3.0964814046186007e-16,0.9999999999999997
readout,2,flat_top_gaussian,ramp_0p35,Long Gaussian ramp,160.0,1.05,1.1048543456039803,1.1600970628841794,-261.66969452446074,0.9940367958210987,0.005963204178900978,3.0444397003392965e-16,0.9999999999999997
readout,2,flat_top_gaussian,ramp_0p35,Long Gaussian ramp,220.0,1.05,0.8035304331665312,0.8437069548248578,-261.66969452446074,0.9940346907322325,0.005965309267767215,2.896988204881268e-16,0.9999999999999997
readout,2,flat_top_gaussian,ramp_0p35,Long Gaussian ramp,300.0,1.05,0.5892556509887895,0.618718433538229,-261.66969452446074,0.9940326210473237,0.0059673789526762866,7.806255641895632e-18,1.0
readout,2,smooth_bump,compact_bump,Compact-support smooth ramp,12.0,1.05,14.731391274719737,15.467960838455726,-261.66969452446074,0.9940259483313921,0.005974051668607682,1.8908485888147197e-16,0.9999999999999998
readout,2,smooth_bump,compact_bump,Compact-support smooth ramp,16.0,1.05,11.048543456039804,11.600970628841793,-261.66969452446074,0.9940327825887171,0.005967217411283082,0.0,1.0000000000000002
readout,2,smooth_bump,compact_bump,Compact-support smooth ramp,20.0,1.05,8.838834764831843,9.280776503073435,-261.66969452446074,0.9940330848719641,0.005966915128036106,0.0,1.0000000000000002
readout,2,smooth_bump,compact_bump,Compact-support smooth ramp,24.0,1.05,7.3656956373598685,7.733980419227863,-261.66969452446074,0.9940331441553246,0.005966855844675583,0.0,1.0000000000000002
readout,2,smooth_bump,compact_bump,Compact-support smooth ramp,32.0,1.05,5.524271728019902,5.8004853144208965,-261.66969452446074,0.9940331200129139,0.00596687998708624,0.0,1.0000000000000002
readout,2,smooth_bump,compact_bump,Compact-support smooth ramp,40.0,1.05,4.419417382415921,4.640388251536717,-261.66969452446074,0.9940330988271282,0.0059669011728719,0.0,1.0
