mode,n,family,variant,description,duration_ns,amplitude_scale,expected_pi_amplitude_MHz,amplitude_MHz,carrier_rotating_MHz,target_probability,source_probability,leakage_probability,subspace_population,projected_swap_fidelity,projected_diagonal_norm,offdiag_phase_asymmetry_rad,source_column_subspace_norm,target_column_subspace_norm,neighbor_transfer_rows,max_neighbor_transfer,selectivity_ratio,dominant_basis_states,passes_unselective,passes_selective,noise_scenario,noise_description,criterion
storage,2,flat_top_cosine,ramp_0p25,Reference cosine ramp,12.0,1.05,14.731391274719737,15.467960838455726,-261.3505365244608,0.9925791022738958,0.006167897834417473,0.0012529998916867412,0.9987470001083133,0.1711807566815809,0.10863088774506663,2.2857818023998013,1.0,1.0,"[{""n_other"": 1, ""target_probability"": 0.8343192131195573}, {""n_other"": 3, ""target_probability"": 0.8013550650472695}]",0.8343192131195573,1.189623609396747,"[[""|g,0,2>"", 0.9940994946454983], [""|f,0,1>"", 0.005900505354501968]]",True,False,transmon_reference,Storage/readout dissipation plus transmon relaxation and Ramsey-derived pure dephasing scaled by 1.0 relative to the matched local tomography reference.,unselective
storage,3,flat_top_cosine,ramp_0p25,Reference cosine ramp,12.0,1.05,12.028130608117204,12.629537138523064,-267.03137852446076,0.9925486101131591,0.006150405217944116,0.0013009846688967928,0.9986990153311032,0.356513828790717,0.10849586292187571,1.8574571031370015,0.9999999999999998,1.0,"[{""n_other"": 1, ""target_probability"": 0.6362068532653967}, {""n_other"": 2, ""target_probability"": 0.9384996049557038}]",0.9384996049557038,1.057590350133642,"[[""|g,0,3>"", 0.9941141533779103], [""|f,0,2>"", 0.005885846622089671]]",True,False,transmon_reference,Storage/readout dissipation plus transmon relaxation and Ramsey-derived pure dephasing scaled by 1.0 relative to the matched local tomography reference.,unselective
storage,1,flat_top_gaussian,ramp_0p15,Short Gaussian ramp,12.0,1.05,20.833333333333332,21.875,-255.6696945244608,0.993055865178198,0.005741402631123057,0.001202732190678949,0.9987972678093211,0.044749803325450865,0.10437136341864982,2.714105104196939,0.9999999999999997,0.9999999999999999,"[{""n_other"": 2, ""target_probability"": 0.5199789612409683}, {""n_other"": 3, ""target_probability"": 0.07078525754834271}]",0.5199789612409683,1.910452860202369,"[[""|g,0,1>"", 0.9945528966636683], [""|f,0,0>"", 0.005447103336331587]]",True,False,transmon_reference,Storage/readout dissipation plus transmon relaxation and Ramsey-derived pure dephasing scaled by 1.0 relative to the matched local tomography reference.,unselective
storage,2,flat_top_gaussian,ramp_0p15,Short Gaussian ramp,12.0,1.05,14.731391274719737,15.467960838455726,-261.3505365244608,0.9930216925469374,0.005727561286334036,0.001250746166728568,0.9987492538332714,0.17126588628057812,0.10418800300140628,2.285771893026398,1.0000000000000002,0.9999999999999999,"[{""n_other"": 1, ""target_probability"": 0.8313166726375765}, {""n_other"": 3, ""target_probability"": 0.8026547577057044}]",0.8313166726375765,1.194505795196579,"[[""|g,0,2>"", 0.9945721122789857], [""|f,0,1>"", 0.005427887721014475]]",True,False,transmon_reference,Storage/readout dissipation plus transmon relaxation and Ramsey-derived pure dephasing scaled by 1.0 relative to the matched local tomography reference.,unselective
storage,3,flat_top_gaussian,ramp_0p15,Short Gaussian ramp,12.0,1.05,12.028130608117204,12.629537138523064,-267.03137852446076,0.9929968067507164,0.005704442137125799,0.0012987511121577578,0.9987012488878423,0.35668883736872564,0.10401048548537692,1.8574485219092296,1.0000000000000002,1.0,"[{""n_other"": 1, ""target_probability"": 0.6305006078701054}, {""n_other"": 2, ""target_probability"": 0.935670321939777}]",0.935670321939777,1.0612731608052164,"[[""|g,0,3>"", 0.9945911264445114], [""|f,0,2>"", 0.005408873555488714]]",True,False,transmon_reference,Storage/readout dissipation plus transmon relaxation and Ramsey-derived pure dephasing scaled by 1.0 relative to the matched local tomography reference.,unselective
storage,1,smooth_bump,compact_bump,Compact-support smooth ramp,12.0,1.05,20.833333333333332,21.875,-255.6696945244608,0.9926398868658852,0.006136214641802824,0.0012238984923119527,0.998776101507688,0.04472453493884752,0.10946571141829897,2.7141087953703353,1.0,0.9999999999999996,"[{""n_other"": 2, ""target_probability"": 0.5215697188170806}, {""n_other"": 3, ""target_probability"": 0.07659198319118678}]",0.5215697188170806,1.9034270275963976,"[[""|g,0,1>"", 0.9940085988643282], [""|f,0,0>"", 0.005991401135671789]]",True,False,transmon_reference,Storage/readout dissipation plus transmon relaxation and Ramsey-derived pure dephasing scaled by 1.0 relative to the matched local tomography reference.,unselective
storage,2,smooth_bump,compact_bump,Compact-support smooth ramp,12.0,1.05,14.731391274719737,15.467960838455726,-261.3505365244608,0.9925990551121994,0.00612906687260062,0.0012718780152000111,0.9987281219848,0.17116606758043343,0.10931177498996167,2.285786898617656,0.9999999999999998,1.0000000000000002,"[{""n_other"": 1, ""target_probability"": 0.8402448455154204}, {""n_other"": 3, ""target_probability"": 0.8075538593520857}]",0.8402448455154204,1.1813638503815056,"[[""|g,0,2>"", 0.9940255688819436], [""|f,0,1>"", 0.005974431118056146]]",True,False,transmon_reference,Storage/readout dissipation plus transmon relaxation and Ramsey-derived pure dephasing scaled by 1.0 relative to the matched local tomography reference.,unselective
storage,3,smooth_bump,compact_bump,Compact-support smooth ramp,12.0,1.05,12.028130608117204,12.629537138523064,-267.03137852446076,0.9925772760653756,0.006102892716073019,0.0013198312185513789,0.9986801687814486,0.3564881575147934,0.1091484121873934,1.8574575325054876,1.0,0.9999999999999999,"[{""n_other"": 1, ""target_probability"": 0.6526552822970776}, {""n_other"": 2, ""target_probability"": 0.9452586370178775}]",0.9452586370178775,1.0500934647360212,"[[""|g,0,3>"", 0.9940436275569663], [""|f,0,2>"", 0.005956372443033707]]",True,False,transmon_reference,Storage/readout dissipation plus transmon relaxation and Ramsey-derived pure dephasing scaled by 1.0 relative to the matched local tomography reference.,unselective
storage,1,blackman,blackman,Blackman window,12.0,1.05,20.833333333333332,21.875,-255.6696945244608,0.9926530891507233,0.0061271608915340475,0.0012197499577426968,0.9987802500422573,0.04472642860564316,0.10918299280820468,2.714106354349377,0.9999999999999999,1.0000000000000002,"[{""n_other"": 2, ""target_probability"": 0.5210927531976303}, {""n_other"": 3, ""target_probability"": 0.07605108217798039}]",0.5210927531976303,1.9053493067123008,"[[""|g,0,1>"", 0.9940394925005209], [""|f,0,0>"", 0.005960507499479171]]",True,False,transmon_reference,Storage/readout dissipation plus transmon relaxation and Ramsey-derived pure dephasing scaled by 1.0 relative to the matched local tomography reference.,unselective
storage,2,blackman,blackman,Blackman window,12.0,1.05,14.731391274719737,15.467960838455726,-261.3505365244608,0.9926036280451783,0.006128632106596637,0.0012677398482250418,0.998732260151775,0.17117223764225678,0.1090263634655894,2.2857847542465954,0.9999999999999998,0.9999999999999999,"[{""n_other"": 1, ""target_probability"": 0.8391048560090685}, {""n_other"": 3, ""target_probability"": 0.8065851239361935}]",0.8391048560090685,1.1830055014678746,"[[""|g,0,2>"", 0.994056675471707], [""|f,0,1>"", 0.005943324528292995]]",True,False,transmon_reference,Storage/readout dissipation plus transmon relaxation and Ramsey-derived pure dephasing scaled by 1.0 relative to the matched local tomography reference.,unselective
